,model,forecast_date,delta,target_end_date,quantile,value,deaths,deltaW,proper,score,sumpdf,prange,p,CIHI,CILO,PE,scorecontr
1149,CU:select,2020-06-18,16,2020-07-04,"[0.01, 0.025, 0.25, 0.15, 0.05, 0.3, 0.2, 0.1, 0.35, 0.6, 0.65, 0.5, 0.7, 0.99, 0.55, 0.4, 0.975, 0.85, 0.95, 0.9, 0.75, 0.8, 0.45]","[127573.0, 128046.0, 130958.0, 129873.0, 128502.0, 131412.0, 130489.0, 129324.0, 131986.0, 134368.0, 134896.0, 133405.0, 135401.0, 142567.0, 133905.0, 132343.0, 140919.0, 137302.0, 139996.0, 138510.0, 135939.0, 136518.0, 132932.0]",130127.0,3.0,True,-4.332718144738922,0.9799900018308205,0.98,7.686724665901395e-05,142567.0,127573.0,133405.0,8.726453743448042
1150,LANL:GrowthRate,2020-06-18,44,2020-08-01,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[125517.530345259, 126734.029943934, 128343.32609721801, 130429.77872163801, 131843.84554719902, 133036.207054906, 134327.355834543, 135768.64107375, 136794.5255601, 137903.29866745698, 139095.884488494, 140187.321402404, 141484.89424474598, 143008.534374412, 144538.364863776, 146501.84951285302, 148429.654244878, 150806.340975844, 153604.926135199, 158358.922758209, 165469.484416714, 171342.280761721, 182653.11328877]",155202.0,7.0,True,-8.015888903383047,0.9799945207354217,0.98,1.1160560575207423e-05,182653.11328877,125517.530345259,140187.321402404,55.033629932625665
1151,CU:select,2020-06-18,9,2020-06-27,"[0.01, 0.025, 0.05, 0.2, 0.1, 0.25, 0.15, 0.3, 0.55, 0.35, 0.6, 0.65, 0.5, 0.7, 0.99, 0.9, 0.4, 0.75, 0.95, 0.45, 0.975, 0.85, 0.8]","[123359.0, 123509.0, 123869.0, 124667.0, 124179.0, 124891.0, 124430.0, 125047.0, 126013.0, 125263.0, 126224.0, 126402.0, 125822.0, 126508.0, 129363.0, 127687.0, 125427.0, 126759.0, 128345.0, 125636.0, 128705.0, 127304.0, 126890.0]",126483.0,2.0,True,-0.7544077710611576,0.9799453996294127,0.98,0.00046658328867410503,129363.0,123359.0,125822.0,1.4582015852689725
1152,CU:scenario_high,2020-06-18,23,2020-07-11,"[0.35, 0.025, 0.4, 0.05, 0.45, 0.1, 0.7, 0.95, 0.6, 0.25, 0.85, 0.5, 0.15, 0.75, 0.975, 0.65, 0.3, 0.01, 0.9, 0.55, 0.2, 0.8, 0.99]","[141407.0, 133298.0, 142503.0, 134083.0, 143766.0, 135429.0, 149447.0, 160243.0, 147114.0, 139238.0, 154359.0, 144903.0, 136841.0, 151229.0, 162675.0, 148525.0, 140365.0, 132254.0, 156496.0, 146116.0, 138180.0, 152462.0, 165875.0]",135359.0,4.0,True,-5.769885508407067,0.9799955329220442,0.98,3.673707183641378e-05,165875.0,132254.0,144903.0,17.902542720868638
1153,UA:EpiCovDA,2020-06-19,22,2020-07-11,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[131984.0, 132268.0, 132504.0, 132813.0, 133040.0, 133242.0, 133401.0, 133540.0, 133666.0, 133783.0, 133887.0, 134001.0, 134117.0, 134233.0, 134371.0, 134519.0, 134660.0, 134809.0, 135003.0, 135266.0, 135743.0, 136042.0, 136360.0]",135359.0,4.0,True,-3.407134639565121,0.9799453084879541,0.98,0.0001197207336990358,136360.0,131984.0,134001.0,5.493509584098996
1154,YYG:ParamSearch,2020-06-19,99,2020-09-26,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[151556.999177, 153324.50682100002, 155273.18468, 158550.48967, 160600.092508, 162787.871375, 165486.37305999998, 168675.068164, 171240.274609, 173894.112052, 176603.468298, 179128.57934, 184408.40488699998, 185050.89753800002, 187511.34086700002, 190355.39027, 193327.244416, 196105.38838299998, 199531.97117, 203897.272143, 209517.144709, 214681.688117, 219586.62349099998]",204742.0,15.0,True,-7.9463145073094426,0.9799935067553069,0.98,1.0060952143342572e-05,219586.62349099998,151556.999177,179128.57934,53.152080802998796
1155,YYG:ParamSearch,2020-06-19,36,2020-07-25,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[132138.460505, 132927.926291, 133700.64278599998, 135019.74078800002, 135838.990215, 136584.075197, 137238.432393, 137905.9432, 138493.00649600002, 139033.833063, 139791.023758, 140305.487896, 141252.16333399998, 141387.532038, 141936.716528, 142552.856341, 143399.525612, 144062.779302, 144993.178569, 146079.172488, 147358.777841, 148976.41408800002, 150094.61091]",147233.0,6.0,True,-6.22849115668924,0.9799750309312364,0.98,2.8006611966197026e-05,150094.61091,132138.460505,140305.487896,22.516437056527568
1156,YYG:ParamSearch,2020-06-19,71,2020-08-29,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[143975.49585099999, 145430.604915, 146931.899875, 149456.87514000002, 151097.715458, 152688.46630899998, 154390.934696, 156372.34179, 157981.08489600001, 159641.475483, 161380.55282799999, 162989.214949, 166094.407659, 166535.791833, 168064.35163, 169862.719816, 171747.03016199998, 173417.848619, 175562.470434, 178203.30281700002, 181396.67146500002, 184714.26813699998, 187447.96405]",182777.0,11.0,True,-8.63863175818247,0.9799895715505599,0.98,7.5326363311034594e-06,187447.96405,143975.49585099999,162989.214949,75.13720777023968
1157,YYG:ParamSearch,2020-06-19,15,2020-07-04,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[124663.05476600002, 125030.137495, 125371.37769000001, 125919.466298, 126252.33360799999, 126543.768109, 126770.30933699998, 127037.725676, 127259.209823, 127459.24720499999, 127763.70247, 127947.77286900001, 128262.328995, 128298.430221, 128480.072895, 128697.278035, 129063.993052, 129315.280989, 129695.426697, 130098.899048, 130603.90853199999, 131327.371292, 131772.75293299998]",130127.0,3.0,True,-3.5668454364670046,0.9799380488576623,0.98,0.00011273232673195133,131772.75293299998,124663.05476600002,127947.77286900001,5.9501874200737115
1158,YYG:ParamSearch,2020-06-19,64,2020-08-22,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[141804.112672, 143146.71744100002, 144508.779421, 146819.107127, 148325.691996, 149752.147678, 151221.77015, 152891.512246, 154264.475042, 155675.94480899998, 157189.269376, 158563.530959, 161094.56304100002, 161485.655825, 162810.303659, 164338.066415, 165968.39623399999, 167404.83684200002, 169283.155976, 171528.732339, 174257.083108, 177214.072565, 179564.02351600002]",176380.0,10.0,True,-8.740628738163807,0.9799879991699243,0.98,7.286764621083908e-06,179564.02351600002,141804.112672,158563.530959,79.06848447976031
1159,UA:EpiCovDA,2020-06-19,15,2020-07-04,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[127431.0, 127636.0, 127798.0, 127998.0, 128142.0, 128279.0, 128383.0, 128475.0, 128556.0, 128629.0, 128709.0, 128782.0, 128852.0, 128926.0, 129011.0, 129101.0, 129194.0, 129299.0, 129424.0, 129608.0, 129910.0, 130123.0, 130349.0]",130127.0,3.0,True,-4.140350228766507,0.9799254902619308,0.98,8.46278850276383e-05,130349.0,127431.0,128782.0,7.926210989876792
1160,YYG:ParamSearch,2020-06-19,43,2020-08-01,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[134649.252195, 135586.827338, 136506.26667, 138092.88283800002, 139094.566617, 140016.132273, 140842.784937, 141703.254381, 142454.739335, 143181.418345, 144109.62355, 144809.361458, 146030.28745, 146243.420725, 146954.10750699998, 147761.484534, 148779.765731, 149625.034659, 150749.54200699998, 152103.177495, 153694.274029, 155639.954643, 157016.685367]",155202.0,7.0,True,-8.066453520949018,0.9799797072228992,0.98,1.0881932853895604e-05,157016.685367,134649.252195,144809.361458,56.44274494091721
1161,YYG:ParamSearch,2020-06-19,22,2020-07-11,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[127151.70565899998, 127657.602964, 128139.42896099998, 128932.405684, 129420.740726, 129845.85940999999, 130195.209985, 130580.3307, 130908.58331300001, 131201.854949, 131636.764667, 131909.944041, 132383.085309, 132454.142226, 132732.261944, 133061.551308, 133579.62523, 133959.21049300002, 134515.95461400002, 135131.145845, 135849.314736, 136872.620749, 137515.44722200002]",135359.0,4.0,True,-4.198344877981184,0.9799564534886107,0.98,8.060467837767149e-05,137515.44722200002,127151.70565899998,131909.944041,8.159414704310821
1162,UA:EpiCovDA,2020-06-19,8,2020-06-27,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[123086.0, 123189.0, 123292.0, 123408.0, 123491.0, 123561.0, 123619.0, 123676.0, 123724.0, 123768.0, 123818.0, 123861.0, 123904.0, 123954.0, 123999.0, 124051.0, 124110.0, 124169.0, 124243.0, 124347.0, 124508.0, 124630.0, 124766.0]",126483.0,2.0,True,,0.9798596001233242,0.98,0.0,124766.0,123086.0,123861.0,
1163,YYG:ParamSearch,2020-06-19,50,2020-08-08,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[137120.217776, 138202.202521, 139272.030952, 141111.52804900002, 142293.01442, 143388.67433, 144411.53134400002, 145511.21171600002, 146452.924368, 147387.26222899999, 148502.902429, 149407.50875799998, 150979.788474, 151265.110952, 152169.19005, 153190.697537, 154406.615797, 155435.116025, 156787.768402, 158400.968991, 160340.438689, 162625.335261, 164282.969878]",162470.0,8.0,True,-8.2766553577517,0.9799830784729027,0.98,9.574659965760901e-06,164282.969878,137120.217776,149407.50875799998,62.69788273430726
1164,YYG:ParamSearch,2020-06-19,92,2020-09-19,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[149835.297972, 151542.54344500002, 153394.993567, 156506.79931600002, 158467.543411, 160518.353977, 162962.234743, 165861.312205, 168191.636654, 170608.377331, 173083.653437, 175380.799782, 180152.372148, 180755.184467, 182975.802513, 185576.602877, 188282.346316, 190772.52907699998, 193895.172887, 197811.067921, 202771.278806, 207408.400128, 211643.863023]",199347.0,14.0,True,-7.76522889154723,0.979992752854567,0.98,1.1162460718000533e-05,211643.863023,149835.297972,175380.799782,48.550983197766804
1165,UA:EpiCovDA,2020-06-19,29,2020-07-18,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[136599.0, 136989.0, 137370.0, 137796.0, 138105.0, 138379.0, 138600.0, 138792.0, 138973.0, 139137.0, 139295.0, 139468.0, 139632.0, 139809.0, 139996.0, 140256.0, 140468.0, 140680.0, 140968.0, 141319.0, 141936.0, 142341.0, 142796.0]",140825.0,5.0,True,-2.658948879092182,0.979960901108703,0.98,0.00017062376935333967,142796.0,136599.0,139468.0,3.779056742786455
1166,YYG:ParamSearch,2020-06-19,8,2020-06-27,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[122095.650372, 122316.221597, 122518.06183800001, 122828.90116800001, 123013.474738, 123179.23227899999, 123305.68914300001, 123456.455025, 123575.7114, 123693.620751, 123869.827053, 123969.697131, 124148.76601099999, 124162.55228499998, 124263.020413, 124377.50583099999, 124595.909469, 124731.05562300001, 124943.17571800001, 125159.66688399999, 125453.05277000001, 125873.946521, 126131.83776]",126483.0,2.0,True,,0.9798938497077679,0.98,0.0,126131.83776,122095.650372,123969.697131,
1167,YYG:ParamSearch,2020-06-19,78,2020-09-05,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[146041.021694, 147593.888274, 149223.20798, 151959.39096199998, 153712.06621, 155465.941887, 157409.360552, 159704.286239, 161553.164528, 163465.659983, 165449.92603, 167289.293185, 170975.405894, 171465.397774, 173210.162231, 175286.08510899998, 177446.165595, 179374.00439000002, 181825.94206, 184878.504052, 188599.133482, 192314.23812999998, 195464.37955]",188608.0,12.0,True,-8.261969136936926,0.9799907688022249,0.98,8.95197719241736e-06,195464.37955,146041.021694,167289.293185,62.23917150387411
1168,YYG:ParamSearch,2020-06-19,29,2020-07-18,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[129635.00249000001, 130281.310623, 130906.62461600002, 131958.003525, 132604.721163, 133183.914166, 133677.154831, 134192.897025, 134642.112705, 135035.667445, 135627.138829, 136003.933572, 136696.04933699997, 136789.414205, 137186.626154, 137651.808071, 138329.285439, 138845.088175, 139588.51212, 140424.292279, 141406.079637, 142726.057517, 143589.504163]",140825.0,5.0,True,-4.8333487114288465,0.9799675241654668,0.98,5.752738165576421e-05,143589.504163,129635.00249000001,136003.933572,11.20852170732805
1169,YYG:ParamSearch,2020-06-19,57,2020-08-15,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[139514.037511, 140731.525087, 141949.360705, 144031.821073, 145380.97408800002, 146644.319792, 147885.074407, 149256.172959, 150405.642237, 151570.253561, 152885.020677, 154012.840925, 156028.272642, 156367.613656, 157487.589542, 158744.570445, 160168.327432, 161388.842776, 162997.09202, 164893.22477, 167210.91640699998, 169842.059703, 171825.494689]",169524.0,9.0,True,-8.56358063979619,0.9799858007383742,0.98,8.120622473323236e-06,171825.494689,139514.037511,154012.840925,72.36988934780622
1170,YYG:ParamSearch,2020-06-19,85,2020-09-12,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[147995.922208, 149632.193991, 151378.57881900002, 154310.526177, 156169.521925, 158078.15031700002, 160268.747773, 162870.909439, 164959.573649, 167127.92916600002, 169363.55669, 171428.722574, 175672.48790799998, 176221.39776700002, 178196.078142, 180539.153903, 182978.992797, 185177.987909, 187966.159995, 191444.736072, 195765.308208, 199925.082949, 203561.850212]",193753.0,13.0,True,-7.6506068869270765,0.9799917905137003,0.98,1.1990310506332369e-05,203561.850212,147995.922208,171428.722574,45.84671014032855
1171,OliverWyman:Navigator,2020-06-21,13,2020-07-04,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[124879.903, 125378.6577, 125873.1015, 126447.5328, 126826.6058, 127168.5091, 127460.2172, 127696.5867, 127911.9844, 128132.5483, 128352.439, 128580.5725, 128788.0707, 128996.9063, 129214.6277, 129473.2004, 129722.0728, 130003.8387, 130345.6079, 130782.1134, 131392.6887, 131967.5084, 132656.25699999998]",130127.0,2.0,True,-2.980911725451768,0.9799750814861237,0.98,0.00015110622619426972,132656.25699999998,124879.903,128580.5725,4.43911868657027
1172,IowaStateLW:STEM,2020-06-21,125,2020-10-24,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[149989.0, 151086.0, 152019.0, 153498.0, 154802.0, 156270.0, 157757.0, 159749.0, 162826.0, 165259.0, 166677.0, 167810.0, 168908.0, 169998.0, 171474.0, 173881.0, 176742.0, 179081.0, 181781.0, 184735.0, 187692.0, 189714.0, 191299.0]",225383.0,18.0,True,,0.9799844205865349,0.98,0.0,191299.0,149989.0,167810.0,
1173,LANL:GrowthRate,2020-06-21,6,2020-06-27,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[122535.120541098, 122896.986872765, 123232.29872402301, 123760.70035391599, 124092.65440893, 124361.647325781, 124592.687088925, 124815.13774518699, 124979.04094893801, 125194.65051719401, 125356.19085126401, 125531.08915279599, 125707.129091105, 125918.33175429, 126108.466736017, 126301.084508236, 126528.71272793, 126767.825695744, 127081.18730553401, 127532.00113839998, 128172.000355985, 128747.158642534, 129333.434293086]",126483.0,1.0,True,-2.3283477811350712,0.9799629834718091,0.98,0.00021239899098360326,129333.434293086,122535.120541098,125531.08915279599,3.2032755337199954
1174,Covid19Sim:Simulator,2020-06-21,48,2020-08-08,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[127846.25361448199, 132158.942771113, 135054.00691986698, 138102.715142247, 140742.541844885, 142205.911455568, 143189.733371327, 143830.888800102, 144329.753555827, 144874.611628644, 145352.359015583, 145834.99248274902, 146245.705734806, 146649.145224977, 147037.602896585, 147469.147514685, 147948.6686144, 148668.670896766, 149491.140166189, 150367.06736011402, 151796.218329708, 153082.879046769, 154929.09189222098]",162470.0,7.0,True,,0.9799975901265275,0.98,0.0,154929.09189222098,127846.25361448199,145834.99248274902,
1175,OliverWyman:Navigator,2020-06-21,20,2020-07-11,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[127176.7468, 127865.5124, 128586.7346, 129584.2409, 130253.2398, 130788.6414, 131279.8469, 131717.3242, 132110.5541, 132469.0224, 132855.6026, 133233.4503, 133593.822, 134018.9302, 134415.3353, 134835.7081, 135322.7414, 135848.9554, 136447.5943, 137297.8567, 138554.3331, 139669.2167, 140930.1536]",135359.0,3.0,True,-3.7964393023663012,0.979982788041066,0.98,9.85446238918053e-05,140930.1536,127176.7468,133233.4503,6.6740018076796295
1176,UCLA:SuEIR,2020-06-21,69,2020-08-29,"[0.01, 0.99, 0.025, 0.975, 0.05, 0.95, 0.1, 0.9, 0.15, 0.85, 0.2, 0.8, 0.25, 0.75, 0.3, 0.7, 0.35, 0.65, 0.4, 0.6, 0.45, 0.55, 0.5]","[130389.511896088, 139330.152075104, 130771.70886976301, 138872.478734459, 131154.11482624, 138423.307539995, 131536.977083673, 137981.071438227, 131920.554758675, 137545.548504125, 132305.123660329, 137116.380302012, 132690.963815545, 136693.14515725902, 133078.37448496599, 136275.394936166, 133467.66542930302, 135862.67228889698, 133859.168853849, 135454.525230831, 134253.230345319, 135050.51454652802, 134650.217690063]",182777.0,10.0,True,,0.9799550686170061,0.98,0.0,139330.152075104,130389.511896088,134650.217690063,
1177,UA:EpiCovDA,2020-06-21,20,2020-07-11,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[130544.0, 130757.0, 130949.0, 131180.0, 131348.0, 131461.0, 131574.0, 131661.0, 131739.0, 131817.0, 131889.0, 131966.0, 132042.0, 132114.0, 132192.0, 132279.0, 132375.0, 132484.0, 132613.0, 132789.0, 133059.0, 133267.0, 133524.0]",135359.0,3.0,True,,0.9799437568949634,0.98,0.0,133524.0,130544.0,131966.0,
1178,UA:EpiCovDA,2020-06-21,13,2020-07-04,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[126312.0, 126471.0, 126616.0, 126785.0, 126898.0, 126987.0, 127063.0, 127133.0, 127196.0, 127252.0, 127311.0, 127364.0, 127425.0, 127482.0, 127545.0, 127612.0, 127684.0, 127760.0, 127857.0, 127980.0, 128170.0, 128334.0, 128523.0]",130127.0,2.0,True,,0.9799121796730528,0.98,0.0,128523.0,126312.0,127364.0,
1179,Auquan:SEIR,2020-06-21,13,2020-07-04,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[129812.0, 131417.0, 136871.0, 140140.0, 142975.0, 144958.0, 146928.0, 148548.0, 150119.0, 151529.0, 152981.0, 154419.0, 155858.0, 157121.0, 158599.0, 160269.0, 162280.0, 163492.0, 165542.0, 168278.0, 172434.0, 175619.0, 181117.0]",130127.0,2.0,True,-8.318763822665808,0.9799947840214409,0.98,1.0475686761422711e-05,181117.0,129812.0,154419.0,64.03193295415011
1180,IowaStateLW:STEM,2020-06-21,55,2020-08-15,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[136634.0, 137021.0, 137459.0, 138034.0, 138517.0, 139002.0, 139546.0, 140194.0, 141088.0, 141926.0, 142530.0, 143031.0, 143446.0, 143920.0, 144481.0, 145146.0, 145947.0, 146690.0, 147514.0, 148349.0, 149288.0, 150012.0, 150610.0]",169524.0,8.0,True,,0.9799536767506449,0.98,0.0,150610.0,136634.0,143031.0,
1181,UCLA:SuEIR,2020-06-21,41,2020-08-01,"[0.01, 0.99, 0.025, 0.975, 0.05, 0.95, 0.1, 0.9, 0.15, 0.85, 0.2, 0.8, 0.25, 0.75, 0.3, 0.7, 0.35, 0.65, 0.4, 0.6, 0.45, 0.55, 0.5]","[128866.44723527301, 136523.628647465, 129200.985907883, 136145.35720633, 129535.685452719, 135772.065042725, 129870.591600521, 135402.686694537, 130204.541571692, 135037.16261147, 130539.12558194, 134675.356736646, 130874.514277446, 134317.069129091, 131210.89571647, 133962.067878034, 131548.43294136302, 133610.109204285, 131887.32656036402, 133260.944803114, 132227.74977735, 132914.326892891, 132570.014228936]",155202.0,6.0,True,,0.979946339454143,0.98,0.0,136523.628647465,128866.44723527301,132570.014228936,
1182,UCLA:SuEIR,2020-06-21,55,2020-08-15,"[0.01, 0.99, 0.025, 0.975, 0.05, 0.95, 0.1, 0.9, 0.15, 0.85, 0.2, 0.8, 0.25, 0.75, 0.3, 0.7, 0.35, 0.65, 0.4, 0.6, 0.45, 0.55, 0.5]","[129833.214609329, 138326.545059408, 130198.10350085, 137896.127779942, 130563.20844076801, 137473.068171738, 130928.740929955, 137055.94530693, 131294.929027305, 136644.590661766, 131662.00782089098, 136238.709248265, 132030.20906265802, 135837.948780807, 132399.806236931, 135441.934043504, 132771.052825588, 135050.276707413, 133144.23981795, 134662.590357704, 133519.664381476, 134278.498679619, 133897.639579904]",169524.0,8.0,True,,0.9799523995575572,0.98,0.0,138326.545059408,129833.214609329,133897.639579904,
1183,Covid19Sim:Simulator,2020-06-21,13,2020-07-04,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[115308.68758737801, 119085.309707939, 121308.51645722, 123519.172983344, 125372.081427427, 126200.67713728099, 126858.11898078301, 127163.98234050199, 127421.51557823199, 127678.69736437801, 127922.653486504, 128136.407182426, 128300.60263909801, 128469.75140395199, 128632.939794779, 128814.43868131199, 129001.260740679, 129263.50336171301, 129538.938824073, 129844.554497049, 130571.211764667, 131198.01995723, 131755.670666994]",130127.0,2.0,True,-4.476776505173315,0.9799688240227086,0.98,7.152526073905818e-05,131755.670666994,115308.68758737801,128136.407182426,9.378203804153367
1184,Covid19Sim:Simulator,2020-06-21,104,2020-10-03,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[149927.20222979, 154908.90049767098, 157889.43512617098, 161499.46458899698, 163777.652208965, 165610.073786239, 166760.723080227, 167739.89648360698, 168617.848304524, 169509.52886286, 170226.403011166, 170979.517918262, 171744.57193032, 172462.281078887, 173242.346129763, 174033.142302654, 174999.057259826, 176663.06788315397, 178479.577239477, 180260.63678338102, 183451.65809963, 186391.781875306, 191653.80620719198]",209649.0,15.0,True,,0.9799999980374607,0.98,0.0,191653.80620719198,149927.20222979,170979.517918262,
1185,IowaStateLW:STEM,2020-06-21,111,2020-10-10,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[147320.0, 148175.0, 149018.0, 150306.0, 151461.0, 152671.0, 153970.0, 155618.0, 158222.0, 160329.0, 161646.0, 162635.0, 163551.0, 164534.0, 165763.0, 167746.0, 170139.0, 172137.0, 174410.0, 176840.0, 179311.0, 180990.0, 182366.0]",214656.0,16.0,True,,0.9799806150777843,0.98,0.0,182366.0,147320.0,162635.0,
