,model,forecast_date,delta,target_end_date,quantile,value,deaths,deltaW,proper,score,sumpdf,prange,p,CIHI,CILO,PE,scorecontr
10,COVIDhub:baseline,2020-04-06,19,2020-04-25,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[14175.2723196232, 16358.887617126202, 18749.4902719027, 21738.999654996598, 23679.578198282, 24918.6464784648, 25932.8559560596, 26718.8795477955, 27180.7801063011, 27430.3519875199, 27516.190761407597, 27549.5574905749, 27581.8101241012, 27659.9941359414, 27902.897064470602, 28367.0851878519, 29147.9391168912, 30162.6426064261, 31422.614496645, 33371.3784737848, 36376.8687276873, 38968.505867308704, 41081.5886748867]",55988.0,3.0,True,,0.9799884887904038,0.98,0.0,41081.5886748867,14175.2723196232,27549.5574905749,
11,COVIDhub:baseline,2020-04-06,5,2020-04-11,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[10535.03, 11165.075, 12215.15, 13709.3, 14496.45, 14684.2, 14770.0, 14772.6, 14780.7, 14787.2, 14787.85, 14788.0, 14788.15, 14788.8, 14795.3, 14803.4, 14806.0, 14891.8, 15079.55, 15866.7, 17360.85, 18410.925, 19040.97]",25530.0,1.0,True,,0.9799523809523862,0.98,0.0,19040.97,10535.03,14788.0,
12,Imperial:ensemble2,2020-04-12,6,2020-04-18,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[36644.0, 36702.0, 36753.0, 36823.0, 36874.0, 36924.0, 36978.0, 37055.0, 38259.0, 38652.0, 38860.0, 39038.0, 39218.0, 39417.0, 39762.0, 42894.0, 43126.0, 43282.0, 43427.0, 43576.0, 43778.0, 43936.0, 44114.0]",40567.0,1.0,True,-9.206806377774356,0.9798633052107929,0.98,1.2034935745752762e-05,44114.0,36644.0,39038.0,99.82345631193604
13,CU:select,2020-04-12,6,2020-04-18,"[0.01, 0.15, 0.025, 0.2, 0.05, 0.25, 0.55, 0.85, 0.5, 0.8, 0.1, 0.3, 0.6, 0.9, 0.975, 0.4, 0.99, 0.7, 0.65, 0.95, 0.45, 0.75, 0.35]","[22123.0, 25124.0, 22813.0, 26043.0, 23264.0, 26435.0, 31153.0, 38255.0, 30768.0, 36335.0, 24505.0, 27427.0, 32101.0, 40033.0, 46519.0, 28897.0, 55641.0, 33617.0, 32745.0, 44118.0, 29355.0, 35030.0, 28022.0]",40567.0,1.0,True,-8.700876230018558,0.9799993067688808,0.98,1.549905115352801e-05,55641.0,22123.0,30768.0,77.51241483964286
14,Imperial:ensemble1,2020-04-12,6,2020-04-18,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[36644.0, 36702.0, 36753.0, 36823.0, 36874.0, 36924.0, 36978.0, 37055.0, 38031.0, 38398.0, 38603.0, 38773.0, 38950.0, 39154.0, 39550.0, 41658.0, 41874.0, 42019.0, 42157.0, 42295.0, 42477.0, 42619.0, 42782.0]",40567.0,1.0,True,-9.606291199128641,0.9798600939419059,0.98,9.85591045671308e-06,42782.0,36644.0,38773.0,121.89324242640913
15,CU:scenario_mid,2020-04-12,6,2020-04-18,"[0.01, 0.15, 0.025, 0.2, 0.05, 0.25, 0.55, 0.85, 0.5, 0.8, 0.1, 0.3, 0.6, 0.9, 0.975, 0.4, 0.99, 0.7, 0.65, 0.95, 0.45, 0.75, 0.35]","[22123.0, 25124.0, 22813.0, 26043.0, 23264.0, 26435.0, 31153.0, 38255.0, 30768.0, 36335.0, 24505.0, 27427.0, 32101.0, 40033.0, 46519.0, 28897.0, 55641.0, 33617.0, 32745.0, 44118.0, 29355.0, 35030.0, 28022.0]",40567.0,1.0,True,-8.700876230018558,0.9799993067688808,0.98,1.549905115352801e-05,55641.0,22123.0,30768.0,77.51241483964286
16,CU:scenario_low,2020-04-12,6,2020-04-18,"[0.01, 0.15, 0.025, 0.2, 0.05, 0.25, 0.55, 0.85, 0.5, 0.8, 0.1, 0.3, 0.6, 0.9, 0.975, 0.4, 0.99, 0.7, 0.65, 0.95, 0.45, 0.75, 0.35]","[19454.0, 22008.0, 19901.0, 22443.0, 20782.0, 22777.0, 26496.0, 32613.0, 26030.0, 30849.0, 21589.0, 23731.0, 27266.0, 33734.0, 38850.0, 24952.0, 44988.0, 28378.0, 27727.0, 36347.0, 25717.0, 29416.0, 24127.0]",40567.0,1.0,True,-11.704879599057044,0.9799823490829616,0.98,3.4513902525679097e-06,44988.0,19454.0,26030.0,348.0825970749797
17,CU:scenario_high,2020-04-12,6,2020-04-18,"[0.01, 0.15, 0.025, 0.2, 0.05, 0.25, 0.55, 0.85, 0.5, 0.8, 0.1, 0.3, 0.6, 0.9, 0.975, 0.4, 0.99, 0.7, 0.65, 0.95, 0.45, 0.75, 0.35]","[24984.0, 29241.0, 25548.0, 30212.0, 26807.0, 30921.0, 37374.0, 45472.0, 36272.0, 44374.0, 27884.0, 31590.0, 38065.0, 47967.0, 58684.0, 33980.0, 69831.0, 40621.0, 38878.0, 55265.0, 34337.0, 41349.0, 32569.0]",40567.0,1.0,True,-6.782815332609304,0.9799856597508493,0.98,4.043958996888253e-05,69831.0,24984.0,36272.0,29.70774143747596
18,CU:nochange,2020-04-12,6,2020-04-18,"[0.01, 0.15, 0.025, 0.2, 0.05, 0.25, 0.55, 0.85, 0.5, 0.8, 0.1, 0.3, 0.6, 0.9, 0.975, 0.4, 0.99, 0.7, 0.65, 0.95, 0.45, 0.75, 0.35]","[32296.0, 40390.0, 33320.0, 42107.0, 35218.0, 43387.0, 53456.0, 67315.0, 51880.0, 63586.0, 37396.0, 44141.0, 55586.0, 71616.0, 96789.0, 47830.0, 112719.0, 58082.0, 56926.0, 85895.0, 48491.0, 61232.0, 44859.0]",40567.0,1.0,True,-7.84484648337454,0.9799922099782482,0.98,2.3778782214801952e-05,112719.0,32296.0,51880.0,50.522725334742915
19,COVIDhub:baseline,2020-04-13,26,2020-05-09,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[37563.1236825368, 42648.4067628176, 46389.2634866349, 50911.5352743527, 54011.7385908859, 56701.0675756758, 59286.868786187806, 61204.200771007694, 62864.70417904179, 64474.6190831908, 65465.43151831519, 65758.08127081269, 66054.5713407134, 67016.4156271563, 68568.0971034711, 70243.9240812408, 72112.7363798638, 74742.8872738727, 77461.29681246809, 80595.0530285303, 85214.4218627186, 89247.3457557076, 94507.6678567786]",81817.0,4.0,True,-8.491552151351868,0.9799981648585662,0.98,1.2117804127215193e-05,94507.6678567786,37563.1236825368,65758.08127081269,69.80991690476135
20,COVIDhub:baseline,2020-04-13,5,2020-04-18,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[26801.1, 26961.75, 27229.5, 28796.5, 30526.5, 31550.972303723, 31710.0, 31765.0, 31770.5, 31780.999531995298, 31781.75, 31782.0, 31782.25, 31783.000468004702, 31793.5, 31799.0, 31854.0, 32013.027696277, 33037.5, 34767.5, 36334.5, 36602.25, 36762.9]",40567.0,1.0,True,,0.9798137510464277,0.98,0.0,36762.9,26801.1,31782.0,
21,COVIDhub:baseline,2020-04-13,19,2020-05-02,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[35080.6212414124, 38952.4666921669, 40582.0848153482, 44331.9648756488, 46294.882667326696, 49044.633447334505, 50255.463572135704, 51800.8047610476, 53173.15493954941, 54049.9581285813, 54374.067974679805, 54432.0718207182, 54488.2568190682, 54796.6471154711, 55655.2147796478, 56983.4773797738, 58509.888586385896, 59730.2194251943, 62516.4115351154, 64544.174976749804, 68391.5700177002, 70290.5582170822, 74200.53406804071]",69535.0,3.0,True,-8.367274290270661,0.9799999967115409,0.98,1.3987193048098367e-05,74200.53406804071,35080.6212414124,54432.0718207182,65.60403119041025
22,UMass:ExpertCrowd,2020-04-13,47,2020-05-30,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[34250.0, 37250.0, 41250.0, 45250.0, 48750.0, 51250.0, 54250.0, 57250.0, 60250.0, 63750.0, 68250.0, 73250.0, 78250.0, 82750.0, 88250.0, 94250.0, 101750.0, 110250.0, 122250.0, 143250.0, 177250.0, 207750.0, 250250.0]",106985.0,7.0,True,-9.679905823407534,0.9799976459695677,0.98,5.849739642543872e-06,250250.0,34250.0,73250.0,126.46339664402464
23,YYG:ParamSearch,2020-04-13,5,2020-04-18,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[30089.3595220464, 30259.0119580703, 30491.026881215297, 30926.436775357, 31169.276315512598, 31488.8175020432, 31663.392431588, 31860.748804454503, 32071.9568322532, 32252.9957432271, 32398.036314858502, 32564.2949463367, 32727.398559330097, 32900.9368397644, 33089.934440386096, 33367.6573973854, 33536.1882767486, 33830.8969931585, 34174.7507114291, 34483.0315949454, 35279.6532390818, 36005.2928660881, 36579.742008002]",40567.0,1.0,True,,0.9799264226655153,0.98,0.0,36579.742008002,30089.3595220464,32564.2949463367,
