forecast_date,target,target_end_date,quantile,type,location,value
2021-08-02,1 wk ahead inc case,2021-08-07,0.025,quantile,US,463069.80709373986
2021-08-02,1 wk ahead inc case,2021-08-07,0.1,quantile,US,535358.6254925054
2021-08-02,1 wk ahead inc case,2021-08-07,0.25,quantile,US,607636.3831246819
2021-08-02,1 wk ahead inc case,2021-08-07,0.5,quantile,US,696300.0195411348
2021-08-02,1 wk ahead inc case,2021-08-07,0.75,quantile,US,789604.4059381355
2021-08-02,1 wk ahead inc case,2021-08-07,0.9,quantile,US,880397.6587950188
2021-08-02,1 wk ahead inc case,2021-08-07,0.975,quantile,US,1006867.0162403906
2021-08-02,1 wk ahead inc case,2021-08-07,NA,point,US,696300.0195411348
2021-08-02,2 wk ahead inc case,2021-08-14,0.025,quantile,US,559517.8360148364
2021-08-02,2 wk ahead inc case,2021-08-14,0.1,quantile,US,696738.526019039
2021-08-02,2 wk ahead inc case,2021-08-14,0.25,quantile,US,833442.1623225703
2021-08-02,2 wk ahead inc case,2021-08-14,0.5,quantile,US,1002111.990384647
2021-08-02,2 wk ahead inc case,2021-08-14,0.75,quantile,US,1188815.1092126067
2021-08-02,2 wk ahead inc case,2021-08-14,0.9,quantile,US,1384223.0141081875
2021-08-02,2 wk ahead inc case,2021-08-14,0.975,quantile,US,1667579.6019272036
2021-08-02,2 wk ahead inc case,2021-08-14,NA,point,US,1002111.990384647
2021-08-02,3 wk ahead inc case,2021-08-21,0.025,quantile,US,681921.2205875748
2021-08-02,3 wk ahead inc case,2021-08-21,0.1,quantile,US,909398.248380791
2021-08-02,3 wk ahead inc case,2021-08-21,0.25,quantile,US,1153832.622342407
2021-08-02,3 wk ahead inc case,2021-08-21,0.5,quantile,US,1488160.8894664012
2021-08-02,3 wk ahead inc case,2021-08-21,0.75,quantile,US,1848943.630259315
2021-08-02,3 wk ahead inc case,2021-08-21,0.9,quantile,US,2265687.9485097355
2021-08-02,3 wk ahead inc case,2021-08-21,0.975,quantile,US,3018257.247523604
2021-08-02,3 wk ahead inc case,2021-08-21,NA,point,US,1488160.8894664012
2021-08-02,4 wk ahead inc case,2021-08-28,0.025,quantile,US,689629.6623181517
2021-08-02,4 wk ahead inc case,2021-08-28,0.1,quantile,US,947222.1651496091
2021-08-02,4 wk ahead inc case,2021-08-28,0.25,quantile,US,1240493.056779209
2021-08-02,4 wk ahead inc case,2021-08-28,0.5,quantile,US,1679958.5547669427
2021-08-02,4 wk ahead inc case,2021-08-28,0.75,quantile,US,2196222.874648965
2021-08-02,4 wk ahead inc case,2021-08-28,0.9,quantile,US,2813947.88971691
2021-08-02,4 wk ahead inc case,2021-08-28,0.975,quantile,US,4066538.4780034805
2021-08-02,4 wk ahead inc case,2021-08-28,NA,point,US,1679958.5547669427
2021-08-02,5 wk ahead inc case,2021-09-04,0.025,quantile,US,346750.005058402
2021-08-02,5 wk ahead inc case,2021-09-04,0.1,quantile,US,506081.93542192085
2021-08-02,5 wk ahead inc case,2021-09-04,0.25,quantile,US,662402.2367482763
2021-08-02,5 wk ahead inc case,2021-09-04,0.5,quantile,US,891456.8159343223
2021-08-02,5 wk ahead inc case,2021-09-04,0.75,quantile,US,1181538.3856160801
2021-08-02,5 wk ahead inc case,2021-09-04,0.9,quantile,US,1511695.3716184606
2021-08-02,5 wk ahead inc case,2021-09-04,0.975,quantile,US,1856817.4839999848
2021-08-02,5 wk ahead inc case,2021-09-04,NA,point,US,891456.8159343223
2021-08-02,6 wk ahead inc case,2021-09-11,0.025,quantile,US,295644.61213982635
2021-08-02,6 wk ahead inc case,2021-09-11,0.1,quantile,US,442458.59958761686
2021-08-02,6 wk ahead inc case,2021-09-11,0.25,quantile,US,587009.2449786757
2021-08-02,6 wk ahead inc case,2021-09-11,0.5,quantile,US,818957.6117733644
2021-08-02,6 wk ahead inc case,2021-09-11,0.75,quantile,US,1109643.4300579652
2021-08-02,6 wk ahead inc case,2021-09-11,0.9,quantile,US,1468938.7416623475
2021-08-02,6 wk ahead inc case,2021-09-11,0.975,quantile,US,1816443.2296686107
2021-08-02,6 wk ahead inc case,2021-09-11,NA,point,US,818957.6117733644
2021-08-02,1 wk ahead cum death,2021-08-07,0.01,quantile,US,614700.4977859796
2021-08-02,1 wk ahead cum death,2021-08-07,0.025,quantile,US,614879.3392574177
2021-08-02,1 wk ahead cum death,2021-08-07,0.05,quantile,US,615044.7356958003
2021-08-02,1 wk ahead cum death,2021-08-07,0.1,quantile,US,615244.5763886595
2021-08-02,1 wk ahead cum death,2021-08-07,0.15,quantile,US,615398.2499278588
2021-08-02,1 wk ahead cum death,2021-08-07,0.2,quantile,US,615522.2965699979
2021-08-02,1 wk ahead cum death,2021-08-07,0.25,quantile,US,615634.1363588849
2021-08-02,1 wk ahead cum death,2021-08-07,0.3,quantile,US,615731.5975294958
2021-08-02,1 wk ahead cum death,2021-08-07,0.35,quantile,US,615824.9128487231
2021-08-02,1 wk ahead cum death,2021-08-07,0.4,quantile,US,615916.1391477108
2021-08-02,1 wk ahead cum death,2021-08-07,0.45,quantile,US,616010.9444902862
2021-08-02,1 wk ahead cum death,2021-08-07,0.5,quantile,US,616095.9044066323
2021-08-02,1 wk ahead cum death,2021-08-07,0.55,quantile,US,616208.0750656824
2021-08-02,1 wk ahead cum death,2021-08-07,0.6,quantile,US,616330.0022435365
2021-08-02,1 wk ahead cum death,2021-08-07,0.65,quantile,US,616457.9393507728
2021-08-02,1 wk ahead cum death,2021-08-07,0.7,quantile,US,616601.2414114241
2021-08-02,1 wk ahead cum death,2021-08-07,0.75,quantile,US,616741.076889112
2021-08-02,1 wk ahead cum death,2021-08-07,0.8,quantile,US,616911.1322303624
2021-08-02,1 wk ahead cum death,2021-08-07,0.85,quantile,US,617152.7497539797
2021-08-02,1 wk ahead cum death,2021-08-07,0.9,quantile,US,617420.3788665003
2021-08-02,1 wk ahead cum death,2021-08-07,0.95,quantile,US,617799.0552922342
2021-08-02,1 wk ahead cum death,2021-08-07,0.975,quantile,US,618202.9714861352
2021-08-02,1 wk ahead cum death,2021-08-07,0.99,quantile,US,618679.7448603408
2021-08-02,1 wk ahead cum death,2021-08-07,NA,point,US,616095.9044066323
2021-08-02,2 wk ahead cum death,2021-08-14,0.01,quantile,US,617515.0472735979
2021-08-02,2 wk ahead cum death,2021-08-14,0.025,quantile,US,617885.2630369645
2021-08-02,2 wk ahead cum death,2021-08-14,0.05,quantile,US,618227.1765235945
2021-08-02,2 wk ahead cum death,2021-08-14,0.1,quantile,US,618654.2746563025
2021-08-02,2 wk ahead cum death,2021-08-14,0.15,quantile,US,618965.7371159376
2021-08-02,2 wk ahead cum death,2021-08-14,0.2,quantile,US,619239.2908728109
2021-08-02,2 wk ahead cum death,2021-08-14,0.25,quantile,US,619483.8289600477
2021-08-02,2 wk ahead cum death,2021-08-14,0.3,quantile,US,619688.5655516343
2021-08-02,2 wk ahead cum death,2021-08-14,0.35,quantile,US,619894.8695785428
2021-08-02,2 wk ahead cum death,2021-08-14,0.4,quantile,US,620100.4506140786
2021-08-02,2 wk ahead cum death,2021-08-14,0.45,quantile,US,620310.5785825897
2021-08-02,2 wk ahead cum death,2021-08-14,0.5,quantile,US,620509.8500977603
2021-08-02,2 wk ahead cum death,2021-08-14,0.55,quantile,US,620831.1385655125
2021-08-02,2 wk ahead cum death,2021-08-14,0.6,quantile,US,621147.8392196217
2021-08-02,2 wk ahead cum death,2021-08-14,0.65,quantile,US,621504.992493496
2021-08-02,2 wk ahead cum death,2021-08-14,0.7,quantile,US,621824.9907941754
2021-08-02,2 wk ahead cum death,2021-08-14,0.75,quantile,US,622155.9375614054
2021-08-02,2 wk ahead cum death,2021-08-14,0.8,quantile,US,622527.4998905369
2021-08-02,2 wk ahead cum death,2021-08-14,0.85,quantile,US,623001.8459445128
2021-08-02,2 wk ahead cum death,2021-08-14,0.9,quantile,US,623581.9455609403
2021-08-02,2 wk ahead cum death,2021-08-14,0.95,quantile,US,624579.3931290021
2021-08-02,2 wk ahead cum death,2021-08-14,0.975,quantile,US,625491.176604623
2021-08-02,2 wk ahead cum death,2021-08-14,0.99,quantile,US,626544.7651526991
2021-08-02,2 wk ahead cum death,2021-08-14,NA,point,US,620509.8500977603
2021-08-02,3 wk ahead cum death,2021-08-21,0.01,quantile,US,621899.2858789172
2021-08-02,3 wk ahead cum death,2021-08-21,0.025,quantile,US,622554.9580608115
2021-08-02,3 wk ahead cum death,2021-08-21,0.05,quantile,US,623236.3667466342
2021-08-02,3 wk ahead cum death,2021-08-21,0.1,quantile,US,624189.4287797501
2021-08-02,3 wk ahead cum death,2021-08-21,0.15,quantile,US,624816.2619045551
2021-08-02,3 wk ahead cum death,2021-08-21,0.2,quantile,US,625359.9085439227
2021-08-02,3 wk ahead cum death,2021-08-21,0.25,quantile,US,625811.4891579641
2021-08-02,3 wk ahead cum death,2021-08-21,0.3,quantile,US,626190.9846893303
2021-08-02,3 wk ahead cum death,2021-08-21,0.35,quantile,US,626607.9506237253
2021-08-02,3 wk ahead cum death,2021-08-21,0.4,quantile,US,627038.6319133274
2021-08-02,3 wk ahead cum death,2021-08-21,0.45,quantile,US,627448.0274935319
2021-08-02,3 wk ahead cum death,2021-08-21,0.5,quantile,US,627975.4360769487
2021-08-02,3 wk ahead cum death,2021-08-21,0.55,quantile,US,628678.4701379326
2021-08-02,3 wk ahead cum death,2021-08-21,0.6,quantile,US,629173.8395945752
2021-08-02,3 wk ahead cum death,2021-08-21,0.65,quantile,US,629752.5956480434
2021-08-02,3 wk ahead cum death,2021-08-21,0.7,quantile,US,630529.8090122083
2021-08-02,3 wk ahead cum death,2021-08-21,0.75,quantile,US,631338.707648014
2021-08-02,3 wk ahead cum death,2021-08-21,0.8,quantile,US,632182.5800564494
2021-08-02,3 wk ahead cum death,2021-08-21,0.85,quantile,US,633089.3350201818
2021-08-02,3 wk ahead cum death,2021-08-21,0.9,quantile,US,634139.9740075091
2021-08-02,3 wk ahead cum death,2021-08-21,0.95,quantile,US,635791.3061172114
2021-08-02,3 wk ahead cum death,2021-08-21,0.975,quantile,US,637414.2870282495
2021-08-02,3 wk ahead cum death,2021-08-21,0.99,quantile,US,639422.5122451527
2021-08-02,3 wk ahead cum death,2021-08-21,NA,point,US,627975.4360769487
2021-08-02,4 wk ahead cum death,2021-08-28,0.01,quantile,US,625467.6251033101
