forecast_date,target,target_end_date,quantile,type,location,value
2021-02-08,1 wk ahead inc case,2021-02-13,0.025,quantile,US,584007.8001442131
2021-02-08,1 wk ahead inc case,2021-02-13,0.1,quantile,US,653621.8073569132
2021-02-08,1 wk ahead inc case,2021-02-13,0.25,quantile,US,708919.0329411413
2021-02-08,1 wk ahead inc case,2021-02-13,0.5,quantile,US,776167.921057936
2021-02-08,1 wk ahead inc case,2021-02-13,0.75,quantile,US,869234.0011719272
2021-02-08,1 wk ahead inc case,2021-02-13,0.9,quantile,US,1033406.2724034121
2021-02-08,1 wk ahead inc case,2021-02-13,0.975,quantile,US,1730306.2409995184
2021-02-08,1 wk ahead inc case,2021-02-13,NA,point,US,776167.921057936
2021-02-08,2 wk ahead inc case,2021-02-20,0.025,quantile,US,502667.1323397356
2021-02-08,2 wk ahead inc case,2021-02-20,0.1,quantile,US,581284.1397118468
2021-02-08,2 wk ahead inc case,2021-02-20,0.25,quantile,US,651568.0651878426
2021-02-08,2 wk ahead inc case,2021-02-20,0.5,quantile,US,741326.7624159161
2021-02-08,2 wk ahead inc case,2021-02-20,0.75,quantile,US,852988.2826360539
2021-02-08,2 wk ahead inc case,2021-02-20,0.9,quantile,US,1017098.9861064759
2021-02-08,2 wk ahead inc case,2021-02-20,0.975,quantile,US,1490536.5210901452
2021-02-08,2 wk ahead inc case,2021-02-20,NA,point,US,741326.7624159161
2021-02-08,3 wk ahead inc case,2021-02-27,0.025,quantile,US,423173.81751923385
2021-02-08,3 wk ahead inc case,2021-02-27,0.1,quantile,US,512016.853335967
2021-02-08,3 wk ahead inc case,2021-02-27,0.25,quantile,US,597447.7372526114
2021-02-08,3 wk ahead inc case,2021-02-27,0.5,quantile,US,711118.5058570143
2021-02-08,3 wk ahead inc case,2021-02-27,0.75,quantile,US,844160.5672355337
2021-02-08,3 wk ahead inc case,2021-02-27,0.9,quantile,US,1028062.7450165012
2021-02-08,3 wk ahead inc case,2021-02-27,0.975,quantile,US,1527438.6551746754
2021-02-08,3 wk ahead inc case,2021-02-27,NA,point,US,711118.5058570143
2021-02-08,4 wk ahead inc case,2021-03-06,0.025,quantile,US,392616.9983745707
2021-02-08,4 wk ahead inc case,2021-03-06,0.1,quantile,US,488874.0001345825
2021-02-08,4 wk ahead inc case,2021-03-06,0.25,quantile,US,588688.6889634167
2021-02-08,4 wk ahead inc case,2021-03-06,0.5,quantile,US,722294.2452997506
2021-02-08,4 wk ahead inc case,2021-03-06,0.75,quantile,US,885726.7990852841
2021-02-08,4 wk ahead inc case,2021-03-06,0.9,quantile,US,1116380.3172616654
2021-02-08,4 wk ahead inc case,2021-03-06,0.975,quantile,US,1553299.4481899233
2021-02-08,4 wk ahead inc case,2021-03-06,NA,point,US,722294.2452997506
2021-02-08,5 wk ahead inc case,2021-03-13,0.025,quantile,US,447188.31130792823
2021-02-08,5 wk ahead inc case,2021-03-13,0.1,quantile,US,588871.701847356
2021-02-08,5 wk ahead inc case,2021-03-13,0.25,quantile,US,718192.6980927172
2021-02-08,5 wk ahead inc case,2021-03-13,0.5,quantile,US,877258.7140970139
2021-02-08,5 wk ahead inc case,2021-03-13,0.75,quantile,US,1074849.6934559967
2021-02-08,5 wk ahead inc case,2021-03-13,0.9,quantile,US,1289040.0308620953
2021-02-08,5 wk ahead inc case,2021-03-13,0.975,quantile,US,1579224.234979242
2021-02-08,5 wk ahead inc case,2021-03-13,NA,point,US,877258.7140970139
2021-02-08,6 wk ahead inc case,2021-03-20,0.025,quantile,US,437821.04762462364
2021-02-08,6 wk ahead inc case,2021-03-20,0.1,quantile,US,572564.950760021
2021-02-08,6 wk ahead inc case,2021-03-20,0.25,quantile,US,693836.124348655
2021-02-08,6 wk ahead inc case,2021-03-20,0.5,quantile,US,851244.6548823067
2021-02-08,6 wk ahead inc case,2021-03-20,0.75,quantile,US,1042950.1656954293
2021-02-08,6 wk ahead inc case,2021-03-20,0.9,quantile,US,1252860.122771659
2021-02-08,6 wk ahead inc case,2021-03-20,0.975,quantile,US,1532226.646615879
2021-02-08,6 wk ahead inc case,2021-03-20,NA,point,US,851244.6548823067
2021-02-08,1 wk ahead cum death,2021-02-13,0.01,quantile,US,475671.91367202543
2021-02-08,1 wk ahead cum death,2021-02-13,0.025,quantile,US,476460.969281368
2021-02-08,1 wk ahead cum death,2021-02-13,0.05,quantile,US,477105.0132126157
2021-02-08,1 wk ahead cum death,2021-02-13,0.1,quantile,US,477803.41620839987
2021-02-08,1 wk ahead cum death,2021-02-13,0.15,quantile,US,478314.8935980556
2021-02-08,1 wk ahead cum death,2021-02-13,0.2,quantile,US,478743.7922842021
2021-02-08,1 wk ahead cum death,2021-02-13,0.25,quantile,US,479195.5400169314
2021-02-08,1 wk ahead cum death,2021-02-13,0.3,quantile,US,479532.7573822387
2021-02-08,1 wk ahead cum death,2021-02-13,0.35,quantile,US,479849.28144212655
2021-02-08,1 wk ahead cum death,2021-02-13,0.4,quantile,US,480188.27611771226
2021-02-08,1 wk ahead cum death,2021-02-13,0.45,quantile,US,480492.4563408093
2021-02-08,1 wk ahead cum death,2021-02-13,0.5,quantile,US,480788.3501820803
2021-02-08,1 wk ahead cum death,2021-02-13,0.55,quantile,US,481111.3653769458
2021-02-08,1 wk ahead cum death,2021-02-13,0.6,quantile,US,481454.92213023716
2021-02-08,1 wk ahead cum death,2021-02-13,0.65,quantile,US,481797.52101684874
2021-02-08,1 wk ahead cum death,2021-02-13,0.7,quantile,US,482163.7420937871
2021-02-08,1 wk ahead cum death,2021-02-13,0.75,quantile,US,482558.56596336374
2021-02-08,1 wk ahead cum death,2021-02-13,0.8,quantile,US,483069.60723853344
2021-02-08,1 wk ahead cum death,2021-02-13,0.85,quantile,US,483704.44041054754
2021-02-08,1 wk ahead cum death,2021-02-13,0.9,quantile,US,484418.0810613673
2021-02-08,1 wk ahead cum death,2021-02-13,0.95,quantile,US,485587.66287313943
2021-02-08,1 wk ahead cum death,2021-02-13,0.975,quantile,US,486727.19428424846
2021-02-08,1 wk ahead cum death,2021-02-13,0.99,quantile,US,488017.1840838393
2021-02-08,1 wk ahead cum death,2021-02-13,NA,point,US,480788.3501820803
2021-02-08,2 wk ahead cum death,2021-02-20,0.01,quantile,US,488106.24286369106
2021-02-08,2 wk ahead cum death,2021-02-20,0.025,quantile,US,489442.975031817
2021-02-08,2 wk ahead cum death,2021-02-20,0.05,quantile,US,490524.8304044582
2021-02-08,2 wk ahead cum death,2021-02-20,0.1,quantile,US,491684.7644690524
2021-02-08,2 wk ahead cum death,2021-02-20,0.15,quantile,US,492607.0400386139
2021-02-08,2 wk ahead cum death,2021-02-20,0.2,quantile,US,493309.52023691847
2021-02-08,2 wk ahead cum death,2021-02-20,0.25,quantile,US,493922.6053859939
2021-02-08,2 wk ahead cum death,2021-02-20,0.3,quantile,US,494458.4255392219
2021-02-08,2 wk ahead cum death,2021-02-20,0.35,quantile,US,495008.4427211718
2021-02-08,2 wk ahead cum death,2021-02-20,0.4,quantile,US,495510.5037631344
2021-02-08,2 wk ahead cum death,2021-02-20,0.45,quantile,US,496026.82852952776
2021-02-08,2 wk ahead cum death,2021-02-20,0.5,quantile,US,496534.3646705475
2021-02-08,2 wk ahead cum death,2021-02-20,0.55,quantile,US,497061.1685684075
2021-02-08,2 wk ahead cum death,2021-02-20,0.6,quantile,US,497601.8121737943
2021-02-08,2 wk ahead cum death,2021-02-20,0.65,quantile,US,498175.0311801943
2021-02-08,2 wk ahead cum death,2021-02-20,0.7,quantile,US,498759.75781903096
2021-02-08,2 wk ahead cum death,2021-02-20,0.75,quantile,US,499431.77573721093
2021-02-08,2 wk ahead cum death,2021-02-20,0.8,quantile,US,500215.79018010787
2021-02-08,2 wk ahead cum death,2021-02-20,0.85,quantile,US,501138.9529300253
2021-02-08,2 wk ahead cum death,2021-02-20,0.9,quantile,US,502278.20869919553
2021-02-08,2 wk ahead cum death,2021-02-20,0.95,quantile,US,504113.6871029592
2021-02-08,2 wk ahead cum death,2021-02-20,0.975,quantile,US,505838.10146840627
2021-02-08,2 wk ahead cum death,2021-02-20,0.99,quantile,US,508005.254638065
2021-02-08,2 wk ahead cum death,2021-02-20,NA,point,US,496534.3646705475
2021-02-08,3 wk ahead cum death,2021-02-27,0.01,quantile,US,499288.9176936876
2021-02-08,3 wk ahead cum death,2021-02-27,0.025,quantile,US,501227.5768569612
2021-02-08,3 wk ahead cum death,2021-02-27,0.05,quantile,US,502820.7063056803
2021-02-08,3 wk ahead cum death,2021-02-27,0.1,quantile,US,504540.1907741375
2021-02-08,3 wk ahead cum death,2021-02-27,0.15,quantile,US,505831.64670263947
2021-02-08,3 wk ahead cum death,2021-02-27,0.2,quantile,US,506886.28375901526
2021-02-08,3 wk ahead cum death,2021-02-27,0.25,quantile,US,507820.13705460995
2021-02-08,3 wk ahead cum death,2021-02-27,0.3,quantile,US,508664.33718905685
2021-02-08,3 wk ahead cum death,2021-02-27,0.35,quantile,US,509478.78865649825
2021-02-08,3 wk ahead cum death,2021-02-27,0.4,quantile,US,510253.98870764853
2021-02-08,3 wk ahead cum death,2021-02-27,0.45,quantile,US,511019.27990521106
2021-02-08,3 wk ahead cum death,2021-02-27,0.5,quantile,US,511777.73408692
2021-02-08,3 wk ahead cum death,2021-02-27,0.55,quantile,US,512538.6741198908
2021-02-08,3 wk ahead cum death,2021-02-27,0.6,quantile,US,513360.48714725545
2021-02-08,3 wk ahead cum death,2021-02-27,0.65,quantile,US,514197.68483601906
2021-02-08,3 wk ahead cum death,2021-02-27,0.7,quantile,US,515068.65035332844
2021-02-08,3 wk ahead cum death,2021-02-27,0.75,quantile,US,516020.30226365407
2021-02-08,3 wk ahead cum death,2021-02-27,0.8,quantile,US,517239.49439304427
2021-02-08,3 wk ahead cum death,2021-02-27,0.85,quantile,US,518673.2287130075
2021-02-08,3 wk ahead cum death,2021-02-27,0.9,quantile,US,520410.73644207313
2021-02-08,3 wk ahead cum death,2021-02-27,0.95,quantile,US,523131.8585055367
2021-02-08,3 wk ahead cum death,2021-02-27,0.975,quantile,US,525820.7950483225
2021-02-08,3 wk ahead cum death,2021-02-27,0.99,quantile,US,529412.9570848235
2021-02-08,3 wk ahead cum death,2021-02-27,NA,point,US,511777.73408692
2021-02-08,4 wk ahead cum death,2021-03-06,0.01,quantile,US,507725.4450978815
2021-02-08,4 wk ahead cum death,2021-03-06,0.025,quantile,US,510550.62192552525
2021-02-08,4 wk ahead cum death,2021-03-06,0.05,quantile,US,512734.9456596791
2021-02-08,4 wk ahead cum death,2021-03-06,0.1,quantile,US,515027.9683540181
2021-02-08,4 wk ahead cum death,2021-03-06,0.15,quantile,US,516761.7220325793
2021-02-08,4 wk ahead cum death,2021-03-06,0.2,quantile,US,518203.28222455917
2021-02-08,4 wk ahead cum death,2021-03-06,0.25,quantile,US,519527.34186955914
2021-02-08,4 wk ahead cum death,2021-03-06,0.3,quantile,US,520670.99125361216
2021-02-08,4 wk ahead cum death,2021-03-06,0.35,quantile,US,521770.2237305057
2021-02-08,4 wk ahead cum death,2021-03-06,0.4,quantile,US,522801.20513074833
2021-02-08,4 wk ahead cum death,2021-03-06,0.45,quantile,US,523884.1148731064
2021-02-08,4 wk ahead cum death,2021-03-06,0.5,quantile,US,524905.4453762288
2021-02-08,4 wk ahead cum death,2021-03-06,0.55,quantile,US,525917.3463891767
2021-02-08,4 wk ahead cum death,2021-03-06,0.6,quantile,US,527048.2446987508
