date,location,location_name,value
2021-03-11,US,US,5243
2021-03-12,US,US,4740
2021-03-13,US,US,4129
2021-03-14,US,US,4199
2021-03-15,US,US,5011
2021-03-16,US,US,4943
2021-03-17,US,US,4936
2021-03-18,US,US,4918
2021-03-19,US,US,4885
2021-03-20,US,US,4144
2021-03-21,US,US,4260
2021-03-22,US,US,5297
2021-03-23,US,US,5216
2021-03-24,US,US,5282
2021-03-25,US,US,5193
2021-03-26,US,US,5074
2021-03-27,US,US,4714
2021-03-28,US,US,4514
2021-03-29,US,US,5463
2021-03-30,US,US,5283
2021-03-31,US,US,5387
2021-04-01,US,US,5378
2021-04-02,US,US,5316
2021-04-03,US,US,4833
2021-04-04,US,US,4900
2021-04-05,US,US,6089
2021-04-06,US,US,5834
2021-04-07,US,US,5725
2021-04-08,US,US,5796
2021-04-09,US,US,5630
2021-04-10,US,US,5245
2021-04-11,US,US,5131
2021-04-12,US,US,5979
2021-04-13,US,US,5857
2021-04-14,US,US,5796
2021-04-15,US,US,6005
2021-04-16,US,US,5910
2021-04-17,US,US,5267
2021-04-18,US,US,5111
2021-04-19,US,US,5849
2021-04-20,US,US,5681
2021-04-21,US,US,5485
2021-04-22,US,US,5314
2021-04-23,US,US,5138
2021-04-24,US,US,4601
2021-04-25,US,US,4515
2021-04-26,US,US,5341
2021-04-27,US,US,5083
2021-04-28,US,US,5040
2021-04-29,US,US,5090
2021-04-30,US,US,4592
2021-05-01,US,US,4111
2021-05-02,US,US,4287
2021-05-03,US,US,4825
2021-05-04,US,US,4593
2021-05-05,US,US,4419
2021-05-06,US,US,4414
2021-05-07,US,US,4196
2021-05-08,US,US,3510
2021-05-09,US,US,3604
2021-05-10,US,US,4130
2021-05-11,US,US,3992
2021-05-12,US,US,3782
2021-05-13,US,US,3769
2021-05-14,US,US,3545
2021-05-15,US,US,3047
2021-05-16,US,US,3029
2021-05-17,US,US,3595
2021-05-18,US,US,3571
2021-05-19,US,US,3269
2021-05-20,US,US,3331
2021-05-21,US,US,3229
2021-05-22,US,US,2848
2021-05-23,US,US,2834
2021-05-24,US,US,3251
2021-05-25,US,US,3057
2021-05-26,US,US,3034
2021-05-27,US,US,2911
2021-05-28,US,US,2594
2021-05-29,US,US,2296
2021-05-30,US,US,2216
2021-05-31,US,US,2291
2021-06-01,US,US,2655
2021-06-02,US,US,2502
2021-06-03,US,US,2454
2021-06-04,US,US,2279
2021-06-05,US,US,1969
2021-06-06,US,US,1932
2021-06-07,US,US,2344
2021-06-08,US,US,2224
2021-06-09,US,US,2217
2021-06-10,US,US,2231
2021-06-11,US,US,2028
2021-06-12,US,US,1847
2021-06-13,US,US,1823
2021-06-14,US,US,2017
2021-06-15,US,US,2054
2021-06-16,US,US,1954
2021-06-17,US,US,2085
2021-06-18,US,US,1843
2021-06-19,US,US,1634
2021-06-20,US,US,1667
2021-06-21,US,US,2045
2021-06-22,US,US,1979
2021-06-23,US,US,1990
2021-06-24,US,US,1937
2021-06-25,US,US,1964
2021-06-26,US,US,1801
2021-06-27,US,US,1826
2021-06-28,US,US,2114
2021-06-29,US,US,2148
2021-06-30,US,US,2098
2021-07-01,US,US,2356
2021-07-02,US,US,2116
2021-07-03,US,US,1922
2021-07-04,US,US,2006
2021-07-05,US,US,2334
2021-07-06,US,US,2671
2021-07-07,US,US,2704
2021-07-08,US,US,2787
2021-07-09,US,US,2801
2021-07-10,US,US,2601
2021-07-11,US,US,2811
2021-07-12,US,US,3341
2021-07-13,US,US,3276
2021-07-14,US,US,3509
2021-07-15,US,US,3742
2021-07-16,US,US,3792
2021-07-17,US,US,3597
2021-07-18,US,US,3953
2021-07-19,US,US,4741
2021-07-20,US,US,4772
2021-07-21,US,US,5260
2021-07-22,US,US,5384
2021-07-23,US,US,5573
2021-07-24,US,US,5361
2021-07-25,US,US,5840
2021-07-26,US,US,6833
2021-07-27,US,US,7059
2021-07-28,US,US,7212
2021-07-29,US,US,7966
2021-07-30,US,US,8049
2021-07-31,US,US,7427
2021-08-01,US,US,7954
2021-08-02,US,US,9485
2021-08-03,US,US,9568
2021-08-04,US,US,9904
2021-08-05,US,US,10237
2021-08-06,US,US,10244
