,model,forecast_date,delta,target_end_date,quantile,value,cases,deltaW,score,sumpdf,prange,p,CIHI,CILO,PE,scorecontr
16,COVIDhub:baseline,2020-04-20,5,2020-04-25,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[124010.4, 176626.8, 204068.5, 205801.0, 207533.5, 234975.2, 287591.6]",208271.0,1.0,-7.314102802217266,0.9499999999112846,0.95,1.3683940596448396e-05,287591.6,124010.4,205801.0,38.74692512773887
17,COVIDhub:baseline,2020-04-20,40,2020-05-30,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[49309.7287222872, 109541.77477574801, 155997.710512105, 205801.0, 255279.703649537, 302487.064152642, 362096.37364023604]",147204.0,6.0,-10.197627919049832,0.9499996565999791,0.95,3.849605732159089e-06,362096.37364023604,49309.7287222872,205801.0,163.8274859976014
18,COVIDhub:baseline,2020-04-20,47,2020-06-06,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[37218.596492964905, 101185.19473194699, 151314.652934029, 205801.0, 259891.94479194802, 310258.039453395, 372753.60173701704]",146547.0,7.0,-10.33556147250432,0.9499996005984781,0.95,3.601104309122749e-06,372753.60173701704,37218.596492964905,205801.0,175.5248689441054
19,COVIDhub:baseline,2020-04-20,19,2020-05-09,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[98304.6617218672, 130822.823820238, 179027.109771098, 205801.0, 232912.673176732, 280640.54476644803, 313103.610722107]",177071.0,3.0,-9.632101421685164,0.9499960490096895,0.95,4.656985187888318e-06,313103.610722107,98304.6617218672,205801.0,123.4764822541492
20,COVIDhub:baseline,2020-04-20,33,2020-05-23,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[60511.8789300393, 117227.32942129401, 161890.267715177, 205801.0, 249578.20492454898, 294465.323106231, 349998.842675427]",155140.0,5.0,-10.021254292331403,0.9499995342114902,0.95,4.0955592279026676e-06,349998.842675427,60511.8789300393,205801.0,149.99877781539598
21,COVIDhub:baseline,2020-04-20,54,2020-06-13,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[26471.041969669703, 93026.6766897669, 147462.83717337198, 205801.0, 263997.08797588, 318209.43693336897, 382815.33988314896]",147383.0,8.0,-10.476989510630268,0.9499994530369358,0.95,3.3457213133997188e-06,382815.33988314896,26471.041969669703,205801.0,188.38632137035594
22,COVIDhub:baseline,2020-04-20,26,2020-05-16,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[77590.1874763748, 124063.41578015801, 170088.177909279, 205801.0, 241945.28801038, 287260.618456185, 333472.383926589]",158546.0,4.0,-10.130272502153726,0.9499984495366791,0.95,3.836405069054805e-06,333472.383926589,77590.1874763748,205801.0,158.40202304965044
23,COVIDhub:baseline,2020-04-20,12,2020-05-02,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[116046.76697267, 142519.286715867, 187812.635256353, 205801.0, 223849.885263853, 269223.590759908, 295752.33402184]",194339.0,2.0,-7.2871399421257435,0.9499946957441384,0.95,1.4358216917462197e-05,295752.33402184,116046.76697267,205801.0,38.22806650373975
24,COVIDhub:baseline,2020-04-27,33,2020-05-30,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[71183.9942259422, 123541.753204532, 168585.095180952, 210195.0, 251793.017442674, 296731.349614496, 349213.851187012]",147204.0,5.0,-10.404655957159655,0.9499991927657481,0.95,3.471048524536502e-06,349213.851187012,71183.9942259422,210195.0,181.69473135377578
25,COVIDhub:baseline,2020-04-27,26,2020-05-23,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[87271.8064165642, 130549.538832388, 176007.056348063, 210195.0, 244422.224919749, 289852.991893919, 333072.611522115]",155140.0,4.0,-10.438842230150357,0.9499980580826568,0.95,3.32380198082155e-06,333072.611522115,87271.8064165642,210195.0,184.82715943990212
26,COVIDhub:baseline,2020-04-27,40,2020-06-06,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[57995.198696487, 115971.41893118901, 163019.987552376, 210195.0, 257453.66829918302, 304142.993242932, 362817.07473199704]",146547.0,6.0,-10.335506625407334,0.9499995745595423,0.95,3.6012030655355187e-06,362817.07473199704,57995.198696487,210195.0,175.52005549535136
27,COVIDhub:baseline,2020-04-27,19,2020-05-16,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[104462.62108646099, 137865.67395774, 184568.322263223, 210195.0, 235821.002512525, 282913.063860639, 315789.263196882]",158546.0,3.0,-10.785550590836674,0.9499962143307602,0.95,2.7646020590368914e-06,315789.263196882,104462.62108646099,210195.0,219.8125846683042
