,model,forecast_date,delta,target_end_date,quantile,value,cases,deltaW,score,sumpdf,prange,p,CIHI,CILO,PE,scorecontr
150,LNQ:ens1,2020-07-12,6,2020-07-18,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[217436.024447643, 339045.538098517, 391842.305609048, 458997.17645625, 525270.429681242, 589105.541613639, 767428.12982675]",465233.0,1.0,-9.021693991831302,0.9499999999926989,0.95,3.898446777672593e-06,767428.12982675,217436.024447643,458997.17645625,90.99886154241231
151,IowaStateLW:STEM,2020-07-12,6,2020-07-18,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[457696.0, 464029.0, 471199.0, 477985.0, 484927.0, 491035.0, 497300.0]",465233.0,1.0,-6.073387510446568,0.9499878070032172,0.95,1.702582744072048e-05,497300.0,457696.0,477985.0,20.83623951828797
152,JHU_IDD:CovidSP,2020-07-12,27,2020-08-08,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[300464.15, 337203.2, 369891.5, 412495.0, 463017.5, 501675.1, 556076.8]",376728.0,4.0,-8.486316833828475,0.9499996531549229,0.95,5.661983358523637e-06,556076.8,300464.15,412495.0,69.6274173291382
153,COVIDhub:baseline,2020-07-13,47,2020-08-29,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[216730.601723517, 282126.54414544103, 340205.076433264, 404684.0, 469293.42898929, 527310.700666007, 592835.214280893]",293638.0,7.0,-10.69802367401164,0.9499992360874381,0.95,2.12231758104503e-06,592835.214280893,216730.601723517,404684.0,210.40028533252612
154,COVIDhub:baseline,2020-07-13,54,2020-09-05,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[201980.510293853, 273528.381189812, 336083.791152911, 404684.0, 473629.718612186, 536125.308343083, 606824.987757628]",291495.0,8.0,-10.68150634787973,0.9499993110306385,0.95,2.147769334777394e-06,606824.987757628,201980.510293853,404684.0,208.6698157850725
155,COVIDhub:baseline,2020-07-13,19,2020-08-01,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[277149.31922644196, 324138.366420664, 367440.902124021, 404684.0, 441868.528507785, 485327.22219422203, 532032.000639006]",440944.0,3.0,-8.656175497812935,0.9499987133507427,0.95,4.80735816282829e-06,532032.000639006,277149.31922644196,404684.0,75.79920078858048
156,USACE:ERDC_SEIR,2020-07-13,40,2020-08-22,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[113266.14908316801, 136926.440135299, 169160.416157537, 215382.35853118, 248297.923904533, 279298.978594236, 311852.916862812]",305813.0,6.0,-11.205431037338624,0.9499972205869889,0.95,1.613639141445633e-06,311852.916862812,113266.14908316801,215382.35853118,271.16175335511997
157,COVIDhub:baseline,2020-07-13,12,2020-07-25,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[309329.88802538, 330868.82098821, 381289.686234362, 404684.0, 427988.231437314, 478476.753100531, 499266.05296778]",467263.0,2.0,-9.941611337157816,0.9499924930061449,0.95,2.4557754637055673e-06,499266.05296778,309329.88802538,404684.0,144.1429720652084
158,COVIDhub:baseline,2020-07-13,5,2020-07-18,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[328871.875, 351600.0, 391180.25, 404684.0, 418187.75, 457768.0, 480496.125]",465233.0,1.0,-9.318089611810311,0.949993757593647,0.95,3.3614768015499674e-06,480496.125,328871.875,404684.0,105.5352273703974
159,COVIDhub:baseline,2020-07-13,26,2020-08-08,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[255849.14786697898, 313943.460246602, 356467.990549905, 404684.0, 453046.157389074, 495642.365592656, 553166.88401359]",376728.0,4.0,-8.603789401584624,0.9499999555106698,0.95,5.338997833101433e-06,553166.88401359,255849.14786697898,404684.0,73.83956512781587
160,COVIDhub:baseline,2020-07-13,40,2020-08-22,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[228249.772493475, 291940.29864998604, 344803.146476465, 404684.0, 464324.850081001, 517139.02405724104, 579267.137890379]",305813.0,6.0,-10.338749519431886,0.9499993778881779,0.95,2.488879784573461e-06,579267.137890379,228249.772493475,404684.0,175.80488281873204
161,USACE:ERDC_SEIR,2020-07-13,33,2020-08-15,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[150092.652602349, 176926.14490302102, 212812.279703626, 260493.87047541802, 295916.452252756, 329256.05440272, 364384.173843226]",362756.0,5.0,-11.85113124534828,0.9499975153583197,0.95,1.072790874412366e-06,364384.173843226,150092.652602349,260493.87047541802,374.4901956123078
162,USACE:ERDC_SEIR,2020-07-13,26,2020-08-08,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[195030.150718135, 224185.63413828, 261342.032664371, 306035.08744474, 341889.458980537, 375243.096613398, 409931.26621442]",376728.0,4.0,-9.827484077024362,0.949997578144586,0.95,2.895595026808362e-06,409931.26621442,195030.150718135,306035.08744474,136.14793317596482
163,COVIDhub:baseline,2020-07-13,33,2020-08-15,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[241981.478838538, 303290.271460715, 349626.813293133, 404684.0, 459614.810165602, 505836.03897039, 565948.831590316]",362756.0,5.0,-9.042001419361736,0.9499997842401293,0.95,4.370286028079762e-06,565948.831590316,241981.478838538,404684.0,91.92754474844027
164,LANL:GrowthRate,2020-07-16,44,2020-08-29,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[27633.898111457, 53678.0552974921, 95820.8274753547, 181457.535633542, 333317.980561264, 563077.90537939, 944486.881991653]",293638.0,7.0,-11.568244882011445,0.9499986899056296,0.95,1.3735492540856153e-06,944486.881991653,27633.898111457,181457.535633542,325.0966234300601
165,LANL:GrowthRate,2020-07-16,9,2020-07-25,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[198928.34726646, 266719.938767411, 335834.092233214, 433016.54421664705, 519550.274678525, 565552.052262566, 694493.623803764]",467263.0,2.0,-9.647081678521726,0.9499997102556615,0.95,2.8454106890951625e-06,694493.623803764,198928.34726646,433016.54421664705,124.40480926705953
166,LANL:GrowthRate,2020-07-16,51,2020-09-05,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[9232.388815758872, 18297.622524358798, 34347.1555319229, 66906.324557298, 128633.371271959, 225293.684625493, 423168.029538594]",291495.0,8.0,-13.577970689862376,0.9499960574457247,0.95,5.046942966602241e-07,423168.029538594,9232.388815758872,66906.324557298,888.0120786039938
167,LANL:GrowthRate,2020-07-16,16,2020-08-01,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[127718.849258476, 189208.30818406, 262114.953967813, 368807.067836194, 501702.614293235, 615950.302398065, 777412.946055375]",440944.0,3.0,-10.524857731119909,0.9499995817526528,0.95,1.8885447861383131e-06,777412.946055375,127718.849258476,368807.067836194,192.9495711838287
168,LANL:GrowthRate,2020-07-16,23,2020-08-08,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[88868.55136977311, 137558.887320259, 203290.070018461, 315698.067792012, 466737.16752054397, 635885.889585639, 858072.382773138]",376728.0,4.0,-10.80070614062231,0.9499993490411851,0.95,1.7799398901174879e-06,858072.382773138,88868.55136977311,315698.067792012,221.4846020381842
169,LANL:GrowthRate,2020-07-16,37,2020-08-22,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[40251.4041592793, 74833.90761236059, 126208.549443026, 223759.097021778, 377675.71458671795, 596881.036193861, 939255.861901529]",305813.0,6.0,-11.161880045454897,0.9499990667234022,0.95,1.6491622975289832e-06,939255.861901529,40251.4041592793,223759.097021778,265.3208962710709
170,LANL:GrowthRate,2020-07-16,30,2020-08-15,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[61022.3661034944, 100929.33140483199, 160036.71631768098, 267697.243155885, 430581.031816755, 622448.064277801, 916743.549782627]",362756.0,5.0,-11.18077540953378,0.9499991929832374,0.95,1.4999645350510793e-06,916743.549782627,61022.3661034944,267697.243155885,267.8394422146152
171,Columbia_UNC:SurvCon,2020-07-19,6,2020-07-25,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[427581.0, 443959.0, 458333.0, 478143.0, 499764.0, 518955.0, 541377.0]",467263.0,1.0,-6.605351171861462,0.9499978657933835,0.95,1.3021120137957087e-05,541377.0,427581.0,478143.0,27.185278248947427
172,UCLA:SuEIR,2020-07-19,34,2020-08-22,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[216089.318136405, 324783.09370098397, 422837.179274119, 534774.490509497, 553450.450429178, 644890.686803983, 925507.72203737]",305813.0,5.0,-12.353516950020108,0.9499998757350228,0.95,9.088720154884489e-07,925507.72203737,216089.318136405,534774.490509497,481.42886063192896
173,LNQ:ens1,2020-07-19,13,2020-08-01,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[230262.209873595, 564106.947284683, 668835.524601542, 866785.593152938, 959617.560212512, 1013723.61246894, 1534303.43720012]",440944.0,2.0,-14.31508850155814,0.9499999999995006,0.95,2.8385015391103885e-07,1534303.43720012,230262.209873595,866785.593152938,1283.754479700044
174,LNQ:ens1,2020-07-19,27,2020-08-15,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[191387.047512418, 482016.13687585294, 563610.924002955, 819330.79617768, 1071608.66274102, 1258886.79509319, 1980621.05993314]",362756.0,4.0,-14.380653743307231,0.9499999999994118,0.95,3.028560398576907e-07,1980621.05993314,191387.047512418,819330.79617768,1326.5367420064163
175,UCLA:SuEIR,2020-07-19,27,2020-08-15,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[227558.886837916, 333241.69161433, 438502.536375162, 539318.0109451261, 563065.194974522, 655625.160028719, 874506.263164731]",362756.0,4.0,-11.554584611418623,0.9499998243576555,0.95,1.244254883479845e-06,874506.263164731,227558.886837916,539318.0109451261,322.8837352731142
176,JHU_IDD:CovidSP,2020-07-19,27,2020-08-15,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[337263.95, 378015.3, 411209.25, 456103.0, 501806.75, 552729.3, 650021.125]",362756.0,4.0,-10.358941441800916,0.9499998177841142,0.95,2.2622467313829914e-06,650021.125,337263.95,456103.0,177.5887920784759
177,UCLA:SuEIR,2020-07-19,13,2020-08-01,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[308837.885733192, 380673.334377384, 456037.658438658, 527631.255637108, 564017.703947661, 634432.882465028, 679093.206246414]",440944.0,2.0,-10.095209404169019,0.9499974522897635,0.95,2.3411230299155705e-06,679093.206246414,308837.885733192,527631.255637108,155.64919143099647
178,UCLA:SuEIR,2020-07-19,41,2020-08-29,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[211093.831360915, 309401.431533291, 412257.28508323, 525439.519242483, 540742.234819137, 622110.290478079, 944796.0454877659]",293638.0,6.0,-12.308274424891799,0.9499997884661708,0.95,9.487436102052771e-07,944796.0454877659,211093.831360915,525439.519242483,470.6605871332247
179,UCLA:SuEIR,2020-07-19,20,2020-08-08,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[253926.76571438398, 347260.27978753, 455668.372796516, 535582.956089845, 570097.018978645, 656068.737976455, 792903.6614758391]",376728.0,3.0,-11.67625374745127,0.949999732384328,0.95,1.1489009511117532e-06,792903.6614758391,253926.76571438398,535582.956089845,343.13600126545117
180,UCLA:SuEIR,2020-07-19,55,2020-09-12,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[201342.61022829602, 284030.840573758, 378461.570285951, 467542.042862919, 489894.327917513, 571256.637208191, 884481.5355260959]",240153.0,8.0,-12.594882375778113,0.9499997055497684,0.95,9.090229726033128e-07,884481.5355260959,201342.61022829602,467542.042862919,543.180234204955
181,Columbia_UNC:SurvCon,2020-07-19,20,2020-08-08,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[349398.0, 374913.0, 391226.0, 413923.0, 444279.0, 481415.0, 543784.0]",376728.0,3.0,-8.257694976887262,0.9499999998988391,0.95,6.347653239435064e-06,543784.0,349398.0,413923.0,62.106303439103236
182,UCLA:SuEIR,2020-07-19,48,2020-09-05,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[207203.44220940102, 302621.262772825, 398910.48883512703, 498484.104893095, 519361.83555477206, 594886.026803115, 929721.548943008]",291495.0,7.0,-12.193842907762924,0.9499997990619651,0.95,1.0082957252986746e-06,929721.548943008,207203.44220940102,498484.104893095,444.4872870050786
183,Columbia_UNC:SurvCon,2020-07-19,48,2020-09-05,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[226110.0, 260453.0, 275178.0, 291813.0, 314142.0, 341720.0, 389929.0]",291495.0,7.0,-7.051164735175537,0.9499999998820836,0.95,1.319186815890161e-05,389929.0,226110.0,291813.0,33.97355295234719
184,Columbia_UNC:SurvCon,2020-07-19,27,2020-08-15,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[313760.0, 342672.0, 358186.0, 379137.0, 407456.0, 442494.0, 503314.0]",362756.0,4.0,-7.008374795212153,0.9499999999079284,0.95,1.208109424609416e-05,503314.0,313760.0,379137.0,33.25441025672591
185,LNQ:ens1,2020-07-19,20,2020-08-08,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[208633.73280869302, 513480.01144255296, 613455.6723821079, 806141.306698401, 1020999.69064041, 1125481.08764709, 1668618.68779966]",376728.0,3.0,-14.547320800597731,0.949999999999196,0.95,2.734250497387486e-07,1668618.68779966,208633.73280869302,806141.306698401,1441.8184383297664
186,Columbia_UNC:SurvCon,2020-07-19,41,2020-08-29,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[252294.0, 284813.0, 300899.0, 318425.0, 342569.0, 372644.0, 424335.0]",293638.0,6.0,-7.49767979578879,0.9499999998906642,0.95,1.051371535725626e-05,424335.0,252294.0,318425.0,42.471781805460864
187,Columbia_UNC:SurvCon,2020-07-19,34,2020-08-22,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[281487.0, 312500.0, 328621.0, 347304.0, 373333.0, 406117.0, 462478.0]",305813.0,5.0,-9.607478512978204,0.9499999999016403,0.95,3.587545366647016e-06,462478.0,281487.0,347304.0,121.96562667743972
188,JHU_IDD:CovidSP,2020-07-19,20,2020-08-08,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[312984.275, 346462.3, 377070.0, 418314.5, 463878.0, 511230.7, 592735.275]",376728.0,3.0,-8.577573640916569,0.9499995746983078,0.95,5.40944145245581e-06,592735.275,312984.275,418314.5,72.87800074730202
189,UCLA:SuEIR,2020-07-19,6,2020-07-25,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[413563.905195269, 433243.926379201, 456853.38524964603, 482613.02460122, 499076.32475037297, 521132.56375757296, 533760.686978809]",467263.0,1.0,-7.29529335574257,0.9499902340274933,0.95,9.222088895491365e-06,533760.686978809,413563.905195269,482613.02460122,38.38422922125557
190,Columbia_UNC:SurvCon,2020-07-19,55,2020-09-12,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[202446.0, 238012.0, 251943.0, 267494.0, 287739.0, 312923.0, 358662.0]",240153.0,8.0,-8.470747624604098,0.9499999998748759,0.95,7.1469269195545415e-06,358662.0,202446.0,267494.0,69.08749966441904
191,LNQ:ens1,2020-07-19,6,2020-07-25,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[271978.944919727, 568292.29589078, 615180.390322117, 784617.382210289, 877985.037596632, 877985.037596632, 1276515.56067087]",467263.0,1.0,-13.941685748254379,0.9499999999999407,0.95,3.323407027980285e-07,1276515.56067087,271978.944919727,784617.382210289,1065.1201344978192
192,JHU_IDD:CovidSP,2020-07-19,13,2020-08-01,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[279026.775, 301353.1, 333712.75, 369075.5, 407177.0, 446013.5, 494578.125]",440944.0,2.0,-9.741184164484547,0.9499981961294856,0.95,2.794472506922885e-06,494578.125,279026.775,369075.5,130.39810044439932
193,Columbia_UNC:SurvCon,2020-07-19,13,2020-08-01,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[388607.0, 410005.0, 426219.0, 449624.0, 481186.0, 516027.0, 562606.0]",440944.0,2.0,-6.990646241395175,0.9499997793817134,0.95,1.105532622275307e-05,562606.0,388607.0,449624.0,32.960936593339085
194,CovidAnalytics:DELPHI,2020-07-20,47,2020-09-05,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[207332.72459897603, 245457.529392695, 279572.637783773, 317477.0, 355381.36221622705, 389496.470607305, 427621.275401024]",291495.0,7.0,-8.453302674017973,0.9499986300059896,0.95,6.543888899965267e-06,427621.275401024,207332.72459897603,317477.0,68.48750617376845
195,COVIDhub:baseline,2020-07-20,19,2020-08-08,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[330490.451715767, 383330.336638366, 423129.47323973203, 465488.0, 507605.512075121, 548121.274651746, 601496.210898109]",376728.0,3.0,-10.501057458514982,0.9499998114357298,0.95,2.067631884396931e-06,601496.210898109,330490.451715767,465488.0,190.66705306179125
196,COVIDhub:baseline,2020-07-20,40,2020-08-29,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[283455.872538725, 348344.698382984, 403109.784347843, 465488.0, 527954.7213022129, 583310.037757378, 647271.638271632]",293638.0,6.0,-13.047868987777079,0.9499993285382791,0.95,6.554626435159583e-07,647271.638271632,283455.872538725,465488.0,681.2535070234541
197,COVIDhub:ensemble,2020-07-20,12,2020-08-01,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[290371.0, 393021.0, 455740.0, 537671.0, 595235.0, 648353.0, 802663.0]",440944.0,2.0,-9.718911388640478,0.9499999999898963,0.95,2.825766765877924e-06,802663.0,290371.0,537671.0,128.95399261079186
198,COVIDhub:ensemble,2020-07-20,19,2020-08-08,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[249289.0, 355480.0, 422267.0, 508963.0, 598392.0, 675872.0, 869474.0]",376728.0,3.0,-10.448631398680817,0.9499999999924893,0.95,2.1225473872607536e-06,869474.0,249289.0,508963.0,185.73402911080916
199,UMich:RidgeTfReg,2020-07-20,12,2020-08-01,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9]","[363549.61583226, 461002.233426556, 466242.06289395, 472950.948824446, 511955.786755772, 537040.165531609]",440944.0,2.0,-11.137187964537706,0.874991282296264,0.875,1.3904695020522384e-06,537040.165531609,363549.61583226,469596.505859198,262.065371523088
200,CovidAnalytics:DELPHI,2020-07-20,54,2020-09-12,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[184833.81666711302, 225590.94737446602, 262061.53232077102, 302583.0, 343104.467679229, 379575.052625534, 420332.183332887]",240153.0,8.0,-9.611952558027443,0.9499987183591188,0.95,4.039334683632323e-06,420332.183332887,184833.81666711302,302583.0,122.23877193368415
201,UMich:RidgeTfReg,2020-07-20,19,2020-08-08,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9]","[334080.28916493396, 436344.817880284, 440219.83369806706, 450089.06683115294, 538689.744835563, 616432.51321275]",376728.0,3.0,-13.642647502422278,0.8749977313091986,0.875,4.2981900102295745e-07,616432.51321275,334080.28916493396,445154.45026461,917.1983492500474
202,COVIDhub:baseline,2020-07-20,33,2020-08-22,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[299368.024197992, 359167.80959409603, 407929.581928319, 465488.0, 522661.09616596205, 571507.667129671, 631021.571880469]",305813.0,5.0,-13.364505020999204,0.9499994759767189,0.95,5.482384125487724e-07,631021.571880469,299368.024197992,465488.0,798.1148508778067
203,UMich:RidgeTfReg,2020-07-20,26,2020-08-15,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9]","[326723.78143248, 409067.749993696, 415684.699642356, 434920.76839899, 595075.7861402989, 735308.532266267]",362756.0,4.0,-12.911089943434657,0.8749987395871847,0.875,6.314630802868593e-07,735308.532266267,326723.78143248,425302.734020673,636.2203538919168
204,CovidAnalytics:DELPHI,2020-07-20,33,2020-08-22,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[249768.097010835, 281989.437992941, 310821.967000185, 342857.0, 374892.032999815, 403724.562007059, 435945.902989165]",305813.0,5.0,-8.542623697890292,0.9499983787064131,0.95,6.109809744414552e-06,435945.902989165,249768.097010835,342857.0,71.61552277087728
205,CovidAnalytics:DELPHI,2020-07-20,26,2020-08-15,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[270000.753986137, 298820.397491013, 324608.995420386, 353262.0, 381915.004579614, 407703.602508987, 436523.24601386295]",362756.0,4.0,-7.528418347459042,0.9499981872104586,0.95,9.314944031113548e-06,436523.24601386295,270000.753986137,353262.0,43.1295843612019
206,COVIDhub:baseline,2020-07-20,12,2020-08-01,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[367066.23428909294, 391542.984901849, 437967.147113971, 465488.0, 493569.238104881, 539334.423708237, 564300.856215812]",440944.0,2.0,-8.016006129059786,0.9499941357074735,0.95,6.620907062784842e-06,564300.856215812,367066.23428909294,465488.0,55.03685570441669
207,COVIDhub:baseline,2020-07-20,26,2020-08-15,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[314997.584381344, 372114.575883759, 413562.80024550203, 465488.0, 516694.96618716203, 559139.863465635, 616686.4107906079]",362756.0,4.0,-10.687587204572267,0.9499999706325182,0.95,1.919444011979493e-06,616686.4107906079,314997.584381344,465488.0,209.3052268794585
208,COVIDhub:baseline,2020-07-20,47,2020-09-05,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[268677.915366404, 338063.34261342604, 398498.99783247797, 465488.0, 532460.4843398429, 593537.481526815, 663302.426209512]",291495.0,7.0,-12.359974586445293,0.9499993257754994,0.95,9.279250315318011e-07,663302.426209512,268677.915366404,465488.0,482.98581912052515
209,CovidAnalytics:DELPHI,2020-07-20,19,2020-08-08,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[290232.64580124896, 315191.189204483, 337524.770139302, 362339.0, 387153.229860698, 409486.81079551706, 434445.35419875104]",376728.0,3.0,-7.273430844877697,0.9499979067119617,0.95,1.0383492048404719e-05,434445.35419875104,290232.64580124896,362339.0,37.96692638437842
210,USACE:ERDC_SEIR,2020-07-20,5,2020-07-25,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[417242.670924631, 426886.56330314296, 435671.80975266604, 445719.47698437603, 456145.582975704, 465318.64024259604, 475608.72878490604]",467263.0,1.0,-7.216172332132428,0.9499947976667803,0.95,9.59423200458387e-06,475608.72878490604,417242.670924631,445719.47698437603,36.8953735842757
211,CovidAnalytics:DELPHI,2020-07-20,40,2020-08-29,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[228961.215958848, 264257.926536779, 295842.379591158, 330935.0, 366027.62040884205, 397612.073463221, 432908.78404115204]",293638.0,6.0,-8.737199547775575,0.9499985203217549,0.95,5.657152950040711e-06,432908.78404115204,228961.215958848,330935.0,78.93303019408336
212,COVIDhub:ensemble,2020-07-20,5,2020-07-25,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[354703.0, 433849.0, 471764.0, 528883.0, 563543.0, 585873.0, 689024.0]",467263.0,1.0,-8.724996909575772,0.9499999999832817,0.95,4.512041881156448e-06,689024.0,354703.0,528883.0,78.45290079014275
213,COVIDhub:baseline,2020-07-20,5,2020-07-25,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[389770.55, 400938.5, 450039.75, 465488.0, 480936.25, 530037.5, 541205.45]",467263.0,1.0,-5.940904453638297,0.9499852105914455,0.95,1.8152277306865416e-05,541205.45,389770.55,465488.0,19.500736358267044
214,LANL:GrowthRate,2020-07-20,5,2020-07-25,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[270624.45416663896, 322815.374924902, 378414.268482535, 433553.64838245796, 459951.524332479, 481252.615006278, 552257.534401886]",467263.0,1.0,-7.420505051749971,0.9499995866972615,0.95,8.662433824996318e-06,552257.534401886,270624.45416663896,433553.64838245796,40.864124472949314
215,COVIDhub:ensemble,2020-07-20,26,2020-08-15,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[224612.0, 329643.0, 390086.0, 495729.0, 593397.0, 696521.0, 946794.0]",362756.0,4.0,-9.879758819935969,0.9499999999945795,0.95,2.8747041348267666e-06,946794.0,224612.0,495729.0,139.75339567735924
216,USACE:ERDC_SEIR,2020-07-21,60,2020-09-19,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[2121.06324308076, 10660.9643017194, 46097.045728003395, 191185.49320791897, 586555.340940626, 1264824.43252616, 2381513.8125721]",282996.0,9.0,-12.673967893832746,0.9499951671518092,0.95,8.049251853936568e-07,2381513.8125721,2121.06324308076,191185.49320791897,565.0893989819895
217,USACE:ERDC_SEIR,2020-07-22,17,2020-08-08,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[374757.677642545, 384341.076534366, 393494.211267417, 404350.651143015, 416329.71043115796, 428582.770037777, 441517.002909255]",376728.0,3.0,-8.473673764802331,0.9499945405047415,0.95,5.697889152021796e-06,441517.002909255,374757.677642545,404350.651143015,69.18865349893221
218,IHME:CurveFit,2020-07-23,16,2020-08-08,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[0.0, 0.0, 647882.8234259, 830932.899245657, 999339.8081401291, 1155172.96902893, 1405239.72251659]",376728.0,3.0,-17.797072669158936,0.9277344075534383,0.95,5.38472647720889e-08,1405239.72251659,0.0,830932.899245657,7321.249832895956
219,LANL:GrowthRate,2020-07-23,51,2020-09-12,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[10674.4992921982, 22328.4348890808, 38989.355828932596, 72109.4821572497, 135345.955529686, 232033.17266649302, 418695.42275354]",240153.0,8.0,-13.215783170128937,0.9499973105619189,0.95,6.664199111439117e-07,418695.42275354,10674.4992921982,72109.4821572497,740.9192055933712
220,USACE:ERDC_SEIR,2020-07-23,30,2020-08-22,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[302193.915836608, 313769.321220337, 325064.114332323, 338481.275047268, 351476.536401072, 363746.686713465, 378638.010036095]",305813.0,5.0,-8.721111560579374,0.9499968369023768,0.95,5.588169104188065e-06,378638.010036095,302193.915836608,338481.275047268,78.30064028465426
221,IHME:CurveFit,2020-07-23,51,2020-09-12,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[0.0, 0.0, 311774.51226516, 483909.125850371, 712589.476031021, 886882.0713115371, 1094743.9581678002]",240153.0,8.0,-15.113511964243553,0.9277343092055209,0.95,2.580247658590107e-07,1094743.9581678002,0.0,483909.125850371,1913.6275911830614
222,LANL:GrowthRate,2020-07-23,23,2020-08-15,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[95397.790376811, 150770.08690522198, 223170.91939576, 336410.14730401104, 494786.516697559, 681017.569246233, 938003.433267925]",362756.0,4.0,-10.793256341619124,0.9499994781866377,0.95,1.8206635061801535e-06,938003.433267925,95397.790376811,336410.14730401104,220.66112878413063
