index,model,forecast_date,delta,target_end_date,quantile,value,deltaW,pastscores,pastranks,weights
9097,JHU_CSSE:DECOM,2021-08-22,6,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[632309.119446306, 632724.575017167, 633158.480353637, 633803.058668207, 634145.29594037, 634420.837221369, 634667.265717695, 634899.209981136, 635090.177756725, 635232.852454363, 635544.421166534, 635777.831113501, 635902.886433196, 636060.996980031, 636295.660458724, 636584.6922427589, 636856.478152995, 637135.531387106, 637502.444353594, 638216.3215490261, 639179.833843548, 640511.375991858, 642399.7984622039]",1.0,-1.1481330391370017,13.891891891891891,0.06367934159029046
9468,JHU_IDD:CovidSP,2021-08-22,6,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[620229.291306276, 620304.8712861979, 620437.709514661, 620795.702138867, 620989.934202765, 621220.15064527, 621375.405074123, 621630.339665749, 621831.964901176, 622072.298220544, 622262.731046723, 622444.1006584939, 622641.407352949, 622867.6420830729, 623004.449046837, 623180.1810798789, 623387.090827575, 623895.1562222639, 624240.96335161, 624577.55192744, 625778.4897412229, 626258.721829259, 626937.007166254]",1.0,-inf,21.06153846153846,0.0
9821,Karlen:pypm,2021-08-22,6,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[634970.8, 635370.4, 635587.5, 635969.4, 636204.0, 636413.4, 636562.5, 636724.8, 636907.0, 637052.1, 637182.3, 637377.0, 637546.5, 637703.1, 637904.5, 638066.4, 638322.4, 638514.9, 638861.0, 639245.1, 639821.8, 640654.7, 641422.5]",1.0,-1.00082996885829,12.218181818181819,0.06854645819973415
10608,LANL:GrowthRate,2021-08-23,5,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[629855.98, 630938.675, 632395.85, 633802.5, 634392.85, 634643.0, 634795.75, 634929.0, 635059.65, 635194.0, 635339.55, 635453.0, 635573.0, 635695.4, 635818.35, 635952.3, 636085.0, 636241.2, 636438.0, 636767.1, 637666.15, 638642.225, 639906.79]",1.0,-3.3264659860741377,15.925373134328359,0.021427898231104303
10849,MIT:Cassandra,2021-08-23,5,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[623376.031779471, 623886.078080965, 624324.746038417, 624830.5020993571, 625171.733312591, 625442.93306362, 625675.598301919, 625884.5388767329, 626078.153457669, 626261.874761365, 626439.627248881, 626614.561537863, 626789.495826845, 626967.248314361, 627150.969618058, 627344.5841989929, 627553.524773807, 627786.190012106, 628057.389763135, 628398.620976369, 628904.377037309, 629343.044994761, 629853.091296256]",1.0,-inf,29.923076923076923,0.0
11047,MIT_CritData:GBCF,2021-08-22,6,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[632537.0, 632916.0, 633148.0, 633506.0, 633750.0, 633918.0, 634034.0, 634122.0, 634212.0, 634384.0, 634505.0, 634726.0, 635006.0, 635121.0, 635268.0, 635408.0, 635621.0, 635778.0, 636010.0, 636306.0, 636770.0, 637180.0, 637878.0]",1.0,-1.864630053808031,19.17142857142857,0.044505451834313196
11333,MOBS:GLEAM_COVID,2021-08-23,5,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[633144.504739426, 633363.184044804, 633560.485899289, 633812.9284564321, 634003.216734014, 634173.838141017, 634337.873140023, 634498.827262145, 634656.5758490061, 634819.473175118, 634985.460301218, 635157.876841591, 635341.706594175, 635542.0074676389, 635755.479817115, 635991.5085795621, 636251.176022674, 636540.302183905, 636872.8700330011, 637292.2218912629, 637885.814349003, 638378.960282183, 638906.049753168]",1.0,-2.49884718009615,15.507246376811594,0.03241117049211937
11517,Microsoft:DeepSTIA,2021-08-23,5,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[636445.829702148, 636458.341101074, 636479.193432617, 636516.240136719, 636532.326025391, 636598.820898438, 636753.531494141, 636841.430566406, 636873.653369141, 636944.683984375, 637030.267529297, 637043.659667969, 637063.831933594, 637223.996875, 637346.968408203, 637370.7575195311, 637397.683349609, 637428.373242188, 637510.975585938, 637623.2421875, 637797.231738281, 637891.0846191411, 637947.396347656]",1.0,-4.17262013341942,13.36111111111111,0.014035876445454225
12281,PSI:DRAFT,2021-08-23,5,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[630810.8, 630938.775, 631068.9, 631226.9, 631345.85, 631434.6, 631521.0, 631597.7, 631673.65, 631743.0, 631821.55, 631886.5, 631969.0, 632044.4, 632131.35, 632220.3, 632327.75, 632449.6, 632595.75, 632778.5, 633072.3, 633351.325, 633686.38]",1.0,-inf,17.09090909090909,0.0
12626,QJHong:Encounter,2021-08-22,6,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[634738.5721547221, 635025.8876611689, 635349.117605922, 635672.347550674, 635887.83418051, 636067.406372039, 636229.021344415, 636354.721878486, 636480.422412556, 636588.165727474, 636713.8662615439, 636821.6095764621, 636929.352891379, 637055.05342545, 637162.7967403671, 637288.4972744379, 637414.197808508, 637575.812780884, 637755.384972414, 637970.871602249, 638294.101547001, 638617.331491754, 638904.646998201]",1.0,-2.9326937006255953,10.45,0.026090724587836876
13066,RobertWalraven:ESG,2021-08-23,5,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[630880.99, 631295.6, 631652.25, 632063.56, 632341.14, 632561.76, 632751.04, 632920.99, 633078.42, 633227.73, 633372.06, 633513.94, 633655.81, 633800.15, 633949.46, 634106.88, 634276.84, 634466.12, 634686.74, 634964.32, 635375.62, 635732.27, 636146.88]",1.0,-5.630016995403569,19.517241379310345,0.006772824607092846
13363,SteveMcConnell:CovidComplete,2021-08-23,5,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[634172.2, 634922.0, 635309.5, 635593.1, 635788.4, 635947.2, 636084.4, 636207.1, 636319.1, 636422.7, 636519.6, 636611.0, 637060.5, 637537.3, 638047.0, 638597.8, 639201.4, 639876.6, 640657.6, 641618.3, 643013.8, 644920.0, 645669.9]",1.0,-0.841126546241024,12.509803921568627,0.07424448126938428
13627,UA:EpiCovDA,2021-08-22,6,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[631240.0, 631768.0, 632179.0, 632590.0, 632851.0, 633054.0, 633256.0, 633431.0, 633605.0, 633797.0, 634008.0, 634193.0, 634625.0, 635244.0, 635895.0, 636552.0, 637243.0, 637985.0, 638834.0, 639838.0, 641312.0, 642598.0, 644126.0]",1.0,-2.7171635124800257,17.109375,0.029059485855284166
14689,UCM_MESALab:FoGSEIR,2021-08-22,6,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[634570.0, 634790.0, 635063.0, 635209.0, 635265.0, 635342.0, 635438.0, 635490.0, 635514.0, 635532.0, 635613.0, 635615.0, 635651.0, 635684.0, 635697.0, 635713.0, 635759.0, 635797.0, 635829.0, 635854.0, 636042.0, 636096.0, 636148.0]",1.0,-inf,21.363636363636363,0.0
14894,UCSD_NEU:DeepGLEAM,2021-08-23,5,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[630818.496138396, 631334.9443263389, 631656.407725408, 632142.833673812, 632587.221056198, 632962.4945077529, 633310.5767449139, 633658.343427378, 634014.656178128, 634392.117976209, 634810.349663581, 635270.689149485, 635873.05523541, 636480.202004556, 637111.25218981, 637775.767157615, 638492.869640859, 639296.024422091, 640223.476967086, 641399.525039605, 643134.913049054, 644640.828263865, 647585.729128384]",1.0,-2.795207581209283,18.74,0.027947365319526046
15162,UMass:MechBayes,2021-08-22,6,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[632576.0, 632843.0, 633157.0, 633520.0, 633769.0, 633933.0, 634078.0, 634229.0, 634368.0, 634637.0, 634796.0, 634934.0, 635070.0, 635249.0, 635407.0, 635604.0, 635779.0, 636059.0, 636397.0, 636793.0, 637359.0, 637943.0]",1.0,-1.499490345134296,10.96875,0.05341980456081738
15398,UMich:RidgeTfReg,2021-08-23,5,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[635026.594429706, 635202.592503897, 635330.219732089, 635607.673643336, 635719.9581455489, 635775.454328466, 635869.37566833, 635941.8595724939, 636050.503390137, 636135.4610778029, 636232.929104901, 636292.0889598171, 636436.66276867, 636470.452868112, 636521.093666377, 636614.892018822, 636782.323008314, 636951.679197973, 636984.05475256, 637191.054885256, 637299.605646123, 637344.29980612, 637630.875876631]",1.0,-inf,17.982758620689655,0.0
15947,USC:SI_kJalpha,2021-08-22,6,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[636064.9797319729, 636182.257009152, 636191.001511624, 636202.809349598, 636202.809349598, 636602.538419083, 636647.662420829, 636653.960556427, 636653.960556427, 637083.736394417, 637254.416263609, 637254.416263609, 637469.687328149, 637574.451518045, 638031.611367032, 638031.611367032, 638097.626550196, 638359.082587167, 639733.050498998, 639733.050498998, 639733.4817439871, 639735.485534074, 639978.9723124211]",1.0,-3.7749816347406577,15.631578947368421,0.017123227999837506
