date,location,location_name,value
2020-09-09,US,US,34049
2020-09-10,US,US,36056
2020-09-11,US,US,47769
2020-09-12,US,US,41101
2020-09-13,US,US,34372
2020-09-14,US,US,34423
2020-09-15,US,US,39492
2020-09-16,US,US,39030
2020-09-17,US,US,45130
2020-09-18,US,US,49282
2020-09-19,US,US,42202
2020-09-20,US,US,38447
2020-09-21,US,US,51878
2020-09-22,US,US,39866
2020-09-23,US,US,39069
2020-09-24,US,US,47103
2020-09-25,US,US,48295
2020-09-26,US,US,44673
2020-09-27,US,US,37528
2020-09-28,US,US,33294
2020-09-29,US,US,43338
2020-09-30,US,US,39443
2020-10-01,US,US,45650
2020-10-02,US,US,54950
2020-10-03,US,US,48577
2020-10-04,US,US,35738
2020-10-05,US,US,39376
2020-10-06,US,US,45289
2020-10-07,US,US,51056
2020-10-08,US,US,58599
2020-10-09,US,US,56384
2020-10-10,US,US,54953
2020-10-11,US,US,45981
2020-10-12,US,US,41774
2020-10-13,US,US,52231
2020-10-14,US,US,59778
2020-10-15,US,US,64880
2020-10-16,US,US,69147
2020-10-17,US,US,56759
2020-10-18,US,US,49367
2020-10-19,US,US,67717
2020-10-20,US,US,61956
2020-10-21,US,US,63301
2020-10-22,US,US,76310
2020-10-23,US,US,81933
2020-10-24,US,US,82767
2020-10-25,US,US,62204
2020-10-26,US,US,67310
2020-10-27,US,US,76838
2020-10-28,US,US,79426
2020-10-29,US,US,91019
2020-10-30,US,US,99264
2020-10-31,US,US,89754
2020-11-01,US,US,104900
2020-11-02,US,US,85211
2020-11-03,US,US,127198
2020-11-04,US,US,104541
2020-11-05,US,US,129367
2020-11-06,US,US,128033
2020-11-07,US,US,127510
2020-11-08,US,US,115170
2020-11-09,US,US,120434
2020-11-10,US,US,140504
2020-11-11,US,US,146750
2020-11-12,US,US,164750
2020-11-13,US,US,180398
2020-11-14,US,US,167926
2020-11-15,US,US,136356
2020-11-16,US,US,162624
2020-11-17,US,US,163958
