,model,forecast_date,delta,target_end_date,quantile,value,deaths,deltaW,score,sumpdf,prange,p,CIHI,CILO,PE
4905,IHME:CurveFit,2020-03-27,8,2020-04-04,"[0.025, 0.975]","[6941.275, 11231.55]",10839,2.0,-4.702353672533255,0.9495572127709946,0.95,0.00022139361454204254,11231.55,6941.275,9086.412499999999
4444,IHME:CurveFit,2020-03-27,43,2020-05-09,"[0.025, 0.975]","[36235.625, 131933.0]",81719,7.0,-8.891552168391936,0.9499801456663879,0.95,9.927165950857075e-06,131933.0,36235.625,84084.3125
4909,Imperial:ensemble2,2020-03-29,6,2020-04-04,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[8964.0, 9188.0, 9396.0, 9673.0, 9876.0, 10025.0, 10156.0, 10273.0, 10382.0, 10481.0, 10586.0, 10701.0, 10810.0, 10883.0, 10935.0, 10975.0, 11010.0, 11048.0, 11087.0, 11135.0, 11208.0, 11298.0, 11477.0]",10839,1.0,-2.5166487477542487,0.9799788411582052,0.98,0.0006603662735256977,11477.0,8964.0,10701.0
4908,Imperial:ensemble1,2020-03-29,6,2020-04-04,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[8613.0, 8859.0, 9081.0, 9358.0, 9550.0, 9702.0, 9834.0, 9953.0, 10059.0, 10172.0, 10282.0, 10401.0, 10533.0, 10721.0, 10864.0, 10932.0, 10977.0, 11016.0, 11057.0, 11102.0, 11165.0, 11216.0, 11294.0]",10839,1.0,-3.429448582093719,0.9799570920255194,0.98,0.0004183819301352698,11294.0,8613.0,10401.0
4448,IHME:CurveFit,2020-04-01,38,2020-05-09,"[0.025, 0.975]","[38276.25, 134970.85]",81719,6.0,-8.912301658007742,0.9499803505870927,0.95,9.824706551531115e-06,134970.85,38276.25,86623.55
4287,IHME:CurveFit,2020-04-01,17,2020-04-18,"[0.025, 0.975]","[26349.975, 54350.55]",40533,3.0,-7.134828791847057,0.9499321452809397,0.95,3.3927359737173646e-05,54350.55,26349.975,40350.2625
4374,IHME:CurveFit,2020-04-01,31,2020-05-02,"[0.025, 0.975]","[36186.8, 112442.875]",69415,5.0,-8.600554020690197,0.9499750839274899,0.95,1.245803608898588e-05,112442.875,36186.8,74314.8375
430,IHME:CurveFit,2020-04-01,80,2020-06-20,"[0.025, 0.975]","[39965.8, 176265.575]",122496,12.0,-9.194103102364835,0.9499860601642259,0.95,6.96991929566293e-06,176265.575,39965.8,108115.6875
4672,IHME:CurveFit,2020-04-01,52,2020-05-23,"[0.025, 0.975]","[39751.675, 162173.95]",100275,8.0,-9.179496574672225,0.9499844799147791,0.95,7.76004312949552e-06,162173.95,39751.675,100962.8125
1307,IHME:CurveFit,2020-04-01,108,2020-07-18,"[0.025, 0.975]","[39965.8, 177865.725]",140775,16.0,-9.078359499804364,0.9499862218968079,0.95,6.889050036262834e-06,177865.725,39965.8,108915.76250000001
1558,IHME:CurveFit,2020-04-01,115,2020-07-25,"[0.025, 0.975]","[39965.8, 177865.725]",147184,17.0,-9.033838866210246,0.9499862218968079,0.95,6.889050036262834e-06,177865.725,39965.8,108915.76250000001
