,model,forecast_date,delta,target_end_date,quantile,value,deaths,deltaW,score,sumpdf,prange,p,CIHI,CILO,PE
4442,CovidAnalytics:DELPHI,2020-05-04,5,2020-05-09,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[72192.59971813491, 73031.1563700858, 73752.3613521459, 74583.8645076894, 75144.8757391646, 75590.7496815231, 75973.269822698, 76316.78473175509, 76635.1024889518, 76937.1549121702, 77229.3941272581, 77517.0, 77804.6058727419, 78096.8450878298, 78398.8975110482, 78717.21526824491, 79060.730177302, 79443.2503184769, 79889.1242608354, 80450.1354923106, 81281.6386478541, 82002.8436299142, 82841.40028186509]",81719,1.0,-6.491307254362781,0.9799821974814187,0.98,3.296338801919707e-05,82841.40028186509,72192.59971813491,77517.0
4800,CovidAnalytics:DELPHI,2020-05-04,26,2020-05-30,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[103491.239999974, 104693.347529825, 105727.226323205, 106919.22235835301, 107723.45642425401, 108362.63616509401, 108910.995469091, 109403.439071837, 109859.761458548, 110292.766779674, 110711.70443899301, 111124.0, 111536.29556100699, 111955.233220326, 112388.238541452, 112844.560928163, 113337.004530909, 113885.36383490599, 114524.54357574599, 115328.77764164699, 116520.773676795, 117554.652470175, 118756.760000026]",106926,4.0,-5.349251212076363,0.9799876017258766,0.98,5.100890758592477e-05,118756.760000026,103491.239999974,111124.0
313,UT:Mobility,2020-05-04,40,2020-06-13,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[85195.87, 88329.125, 92091.6642857143, 98931.8, 105629.464285714, 113844.742857143, 123955.357142857, 135740.585714286, 149650.17857142902, 169555.25714285698, 195758.99285714302, 233141.928571429, 279668.185714286, 350105.828571429, 459638.750000001, 614586.9714285721, 881202.5, 1382036.17142857, 2416010.91428572, 4801396.74285716, 15122651.242857099, 41525770.2035714, 126438180.88]",118220,6.0,-9.906773898095956,0.9799980277302125,0.98,4.968081693923487e-06,126438180.88,85195.87,233141.928571429
4843,MOBS:GLEAM_COVID,2020-05-04,26,2020-05-30,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[88465.077550115, 89393.9146672375, 90181.50935980001, 91487.28346765, 92565.2931836, 93466.1465711, 94529.287837775, 95278.83776889999, 95815.119424775, 96805.5784173, 97631.2398882, 98299.46814835, 99273.87853710001, 100483.6745352, 101711.657409, 103069.59044439999, 103762.357767975, 105167.13874750001, 106080.074108075, 109222.89438895, 113854.646081975, 117312.07519313699, 125255.36430683]",106926,4.0,-7.382660555921496,0.9799961377671335,0.98,1.8454266753425985e-05,125255.36430683,88465.077550115,98299.46814835
4700,MOBS:GLEAM_COVID,2020-05-04,19,2020-05-23,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[85321.076750515, 86074.302414975, 86637.90822755, 87633.14668225, 88404.63389555, 89100.3987129, 89967.287497475, 90460.712468, 90970.809106525, 91688.2873886, 92206.03212985, 92779.3515166, 93378.75196405, 94342.7782421, 94951.325955975, 95769.91285465, 96467.447333225, 97393.4425147, 98182.417397525, 100211.99844155, 103230.9729531, 105874.0561196, 110097.47379562]",100275,3.0,-7.289956023619207,0.9799970075230546,0.98,1.996055682684794e-05,110097.47379562,85321.076750515,92779.3515166
4503,COVIDhub:ensemble,2020-05-04,12,2020-05-16,"[0.01, 0.15, 0.025, 0.55, 0.85, 0.2, 0.05, 0.6, 0.9, 0.25, 0.5, 0.65, 0.95, 0.1, 0.45, 0.75, 0.99, 0.3, 0.4, 0.7, 0.8, 0.975, 0.35]","[79195.8532687202, 82452.7532319021, 80057.6137416263, 86988.8883604898, 91032.3792019243, 83098.0127829653, 80778.3610123134, 87544.3139433877, 92113.2972870863, 83735.7314579635, 86458.2973289311, 88118.6598330669, 93853.0609585394, 81692.5146757179, 85919.6670660554, 89446.43856955119, 97339.3107101247, 84291.15683823639, 85385.0106320324, 88773.64562695811, 90182.0010129183, 95466.8017176432, 84842.4695620617]",91697,2.0,-5.738662088526509,0.9799900112409621,0.98,4.533677481982634e-05,97339.3107101247,79195.8532687202,86458.2973289311
4499,COVIDhub:baseline,2020-05-04,12,2020-05-16,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[78895.3992415924, 80503.0001680017, 81952.6505715057, 85833.4367503675, 87075.9965154652, 88116.3032670327, 88918.73047730481, 89698.4454924549, 90207.0809828098, 91019.149497495, 91556.89472294721, 91597.0, 91637.90297152971, 92169.8988869889, 92988.2273347734, 93501.64243542429, 94297.10203102029, 95105.2292442925, 96140.50871358711, 97325.54653946539, 101236.058352084, 102691.005310053, 104291.652442324]",91697,2.0,-2.994420904172478,0.9799894938594144,0.98,0.00017879485756555624,104291.652442324,78895.3992415924,91597.0
2681,IHME:CurveFit,2020-05-04,110,2020-08-22,"[0.025, 0.975]","[95091.925, 242889.975]",176318,16.0,-8.991868571713027,0.9499871446139558,0.95,6.4276918496641855e-06,242889.975,95091.925,168990.95
4749,COVIDhub:baseline,2020-05-04,26,2020-05-30,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[85999.6269546696, 91141.4997907479, 95293.3034935349, 100643.03694536901, 104618.75596406, 107328.297374974, 109505.382413824, 111271.432652327, 112824.30784957901, 114302.331401314, 115611.082152822, 116827.08901089, 118036.832412324, 119387.42715027099, 120855.320788708, 122388.35795758, 124103.090855909, 126336.508499085, 129091.69073590699, 133030.267542675, 138307.082443824, 142376.546714217, 147360.389924699]",106926,4.0,-7.200879681151561,0.9799974691635611,0.98,2.0210171989200332e-05,147360.389924699,85999.6269546696,116827.08901089
4541,CovidAnalytics:DELPHI,2020-05-04,12,2020-05-16,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[84234.4784589979, 85212.9081389263, 86054.4116415437, 87024.6112869046, 87679.2003815965, 88199.4470431611, 88645.77235514231, 89046.58627956519, 89418.0001137586, 89770.4355217701, 90111.420857723, 90447.0, 90782.579142277, 91123.5644782299, 91475.9998862414, 91847.41372043481, 92248.22764485769, 92694.5529568389, 93214.7996184035, 93869.3887130954, 94839.58835845631, 95681.09186107368, 96659.5215410021]",91697,2.0,-3.566899766280115,0.9799848268424306,0.98,0.0001342897354301431,96659.5215410021,84234.4784589979,90447.0
4753,COVIDhub:ensemble,2020-05-04,26,2020-05-30,"[0.025, 0.05, 0.1, 0.01, 0.2, 0.9, 0.15, 0.55, 0.95, 0.6, 0.25, 0.85, 0.975, 0.65, 0.5, 0.99, 0.3, 0.8, 0.75, 0.7, 0.35, 0.4, 0.45]","[89613.79350513211, 90933.8374718052, 92727.5517737647, 88234.0415286916, 95540.3852954675, 119423.852079871, 94231.9956646207, 104285.464390254, 126332.062774231, 105815.13801469801, 96757.56708246391, 115553.025090987, 134139.00538771, 107267.970406686, 102954.97113075199, 147466.936685639, 98043.36658369571, 113016.01046953801, 110800.88936544699, 109111.32568653699, 99193.5734945436, 100393.666415365, 101678.698558177]",106926,4.0,-6.1725175319744805,0.9799966262741833,0.98,3.379683354742813e-05,147466.936685639,88234.0415286916,102954.97113075199
4496,YYG:ParamSearch,2020-05-04,5,2020-05-09,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[73734.667686916, 74080.09541990531, 74443.70936925951, 74936.0350162702, 75334.6900356233, 75671.8462342666, 75981.2815782284, 76273.24389030259, 76554.3600962738, 76824.8391717141, 77096.6843535681, 77418.8389102833, 77685.7844405561, 77993.3581715652, 78296.9352084086, 78633.6328246313, 78971.5039776222, 79374.14314230099, 79766.5844094159, 80297.5179666576, 80971.9366160145, 81500.8423971833, 81997.2073640991]",81719,1.0,-6.579704990797269,0.979951326038843,0.98,3.153817205295284e-05,81997.2073640991,73734.667686916,77418.8389102833
215,CU:select,2020-05-07,37,2020-06-13,"[0.025, 0.3, 0.35, 0.05, 0.1, 0.01, 0.15, 0.2, 0.4, 0.25, 0.85, 0.45, 0.65, 0.9, 0.7, 0.5, 0.95, 0.75, 0.55, 0.975, 0.8, 0.6, 0.99]","[108286.0, 122624.0, 124701.0, 109691.0, 113188.0, 105462.0, 116070.0, 118167.0, 126996.0, 120652.0, 154712.0, 129415.0, 140101.0, 161245.0, 143059.0, 132186.0, 170775.0, 146728.0, 134330.0, 178510.0, 150853.0, 137278.0, 189368.0]",118220,6.0,-6.964709803627547,0.9799995479036844,0.98,2.1629666809540316e-05,189368.0,105462.0,132186.0
4630,CU:scenario_high,2020-05-07,16,2020-05-23,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.4, 0.6, 0.2, 0.45, 0.95, 0.65, 0.3, 0.7, 0.25, 0.35, 0.5, 0.975, 0.8, 0.55, 0.75, 0.99, 0.85, 0.9]","[90049.0, 91004.0, 91370.0, 92449.0, 93031.0, 95630.0, 97771.0, 93556.0, 96186.0, 104082.0, 98378.0, 94715.0, 98922.0, 94088.0, 95343.0, 96693.0, 105541.0, 100437.0, 97263.0, 99506.0, 107690.0, 100968.0, 102302.0]",100275,3.0,-5.200781828986826,0.9799985885758358,0.98,5.673238802067493e-05,107690.0,90049.0,96693.0
13,CU:scenario_high,2020-05-07,30,2020-06-06,"[0.025, 0.1, 0.15, 0.05, 0.2, 0.85, 0.65, 0.01, 0.25, 0.9, 0.7, 0.35, 0.5, 0.3, 0.95, 0.55, 0.75, 0.4, 0.975, 0.6, 0.45, 0.99, 0.8]","[101983.0, 105390.0, 106961.0, 102875.0, 108314.0, 129994.0, 121648.0, 99980.0, 109628.0, 133766.0, 123751.0, 112730.0, 116808.0, 111125.0, 139565.0, 118297.0, 125581.0, 113703.0, 144031.0, 120012.0, 115359.0, 150329.0, 127823.0]",112954,5.0,-5.243016073452636,0.9799992478923713,0.98,5.23366044661161e-05,150329.0,99980.0,116808.0
4773,CU:scenario_low,2020-05-07,23,2020-05-30,"[0.025, 0.15, 0.01, 0.1, 0.25, 0.05, 0.2, 0.65, 0.3, 0.75, 0.7, 0.35, 0.5, 0.55, 0.99, 0.6, 0.4, 0.8, 0.85, 0.975, 0.9, 0.45, 0.95]","[96192.0, 99492.0, 94911.0, 98486.0, 101282.0, 96826.0, 100346.0, 108088.0, 102175.0, 110219.0, 108943.0, 103091.0, 105502.0, 106208.0, 124232.0, 107285.0, 103592.0, 111625.0, 112811.0, 120711.0, 115082.0, 104449.0, 118071.0]",106926,4.0,-5.694038851524755,0.9799980698317339,0.98,4.293152722156801e-05,124232.0,94911.0,105502.0
4523,CU:scenario_low,2020-05-07,9,2020-05-16,"[0.01, 0.6, 0.4, 0.2, 0.025, 0.65, 0.45, 0.1, 0.25, 0.05, 0.7, 0.5, 0.15, 0.3, 0.75, 0.55, 0.8, 0.35, 0.95, 0.975, 0.99, 0.85, 0.9]","[83856.0, 87956.0, 86910.0, 85850.0, 84269.0, 88320.0, 87174.0, 85169.0, 86159.0, 84538.0, 88595.0, 87530.0, 85427.0, 86559.0, 88956.0, 87799.0, 89300.0, 86767.0, 91387.0, 91997.0, 93095.0, 89747.0, 90486.0]",91697,2.0,-5.7888658585620005,0.9799989123461488,0.98,4.421290099948516e-05,93095.0,83856.0,87530.0
93,LANL:GrowthRate,2020-05-07,30,2020-06-06,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[83402.7571229732, 85677.3233527911, 87837.7691712292, 91011.75423184561, 93578.81498501859, 95745.0188357806, 97610.038272585, 99759.0503580875, 101741.921678884, 103641.774944416, 105780.438356015, 108069.16820725199, 110373.109909274, 112620.51060241301, 115032.400577451, 117821.764678532, 121163.697919427, 125124.29690048, 129936.775190815, 136258.295382613, 148315.07930523, 160269.50236130698, 178277.54083373]",112954,5.0,-7.028597647428017,0.9799978609719988,0.98,2.1432430813650427e-05,178277.54083373,83402.7571229732,108069.16820725199
4695,LANL:GrowthRate,2020-05-07,16,2020-05-23,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[81318.2862013634, 82705.22749027661, 84318.2226966942, 86366.540629047, 87906.45228053481, 89126.0770174022, 90248.9473207983, 91621.7185729421, 92983.65085619039, 93958.1753531814, 95111.7209526038, 96151.3823777743, 97374.6197628567, 98504.58193499301, 99633.6997304622, 101024.187782504, 102407.234461803, 103941.091901197, 105925.045468454, 108436.13672588301, 112557.97173842699, 117534.746877439, 124050.811378533]",100275,3.0,-6.158460454887034,0.9799945353704458,0.98,3.514582912844677e-05,124050.811378533,81318.2862013634,96151.3823777743
275,LANL:GrowthRate,2020-05-07,37,2020-06-13,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[83891.8831278343, 86698.1409404118, 88873.2048329651, 92529.41176195099, 95443.8764557991, 97866.375869045, 100155.584793559, 102351.74293029, 104547.386217259, 106963.08532155301, 109525.820612933, 112167.071456826, 114965.28295121901, 117602.04332142099, 120592.54540251801, 124343.266126352, 128577.41578819302, 132985.10455758902, 139545.89713936902, 148847.26659140698, 165795.925208381, 182332.483131335, 202442.34428188897]",118220,6.0,-7.381616241229396,0.9799985701735322,0.98,1.7559807345884915e-05,202442.34428188897,83891.8831278343,112167.071456826
31,CU:scenario_mid,2020-05-07,30,2020-06-06,"[0.025, 0.1, 0.15, 0.05, 0.2, 0.85, 0.65, 0.01, 0.25, 0.9, 0.7, 0.35, 0.5, 0.3, 0.95, 0.55, 0.75, 0.4, 0.975, 0.6, 0.45, 0.99, 0.8]","[101838.0, 105114.0, 106890.0, 102836.0, 108168.0, 129777.0, 121353.0, 99862.0, 109803.0, 133672.0, 123176.0, 112349.0, 116691.0, 111028.0, 139167.0, 118320.0, 125218.0, 113780.0, 143715.0, 119797.0, 115125.0, 150222.0, 127603.0]",112954,5.0,-6.083290748495307,0.9799993578990362,0.98,3.4382877140984314e-05,150222.0,99862.0,116691.0
204,CU:scenario_mid,2020-05-07,37,2020-06-13,"[0.025, 0.3, 0.35, 0.05, 0.1, 0.01, 0.15, 0.2, 0.4, 0.25, 0.85, 0.45, 0.65, 0.9, 0.7, 0.5, 0.95, 0.75, 0.55, 0.975, 0.8, 0.6, 0.99]","[108286.0, 122624.0, 124701.0, 109691.0, 113188.0, 105462.0, 116070.0, 118167.0, 126996.0, 120652.0, 154712.0, 129415.0, 140101.0, 161245.0, 143059.0, 132186.0, 170775.0, 146728.0, 134330.0, 178510.0, 150853.0, 137278.0, 189368.0]",118220,6.0,-6.964709803627547,0.9799995479036844,0.98,2.1629666809540316e-05,189368.0,105462.0,132186.0
22,CU:scenario_low,2020-05-07,30,2020-06-06,"[0.025, 0.1, 0.15, 0.05, 0.2, 0.85, 0.65, 0.01, 0.25, 0.9, 0.7, 0.35, 0.5, 0.3, 0.95, 0.55, 0.75, 0.4, 0.975, 0.6, 0.45, 0.99, 0.8]","[101295.0, 104582.0, 106038.0, 102172.0, 107409.0, 127978.0, 119923.0, 99432.0, 108794.0, 131524.0, 121378.0, 111642.0, 115425.0, 110140.0, 136566.0, 116662.0, 123536.0, 112546.0, 140904.0, 118535.0, 114005.0, 146875.0, 125738.0]",112954,5.0,-6.039470525352235,0.9799990537122659,0.98,3.514452322163353e-05,146875.0,99432.0,115425.0
4639,CU:scenario_low,2020-05-07,16,2020-05-23,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.4, 0.6, 0.2, 0.45, 0.95, 0.65, 0.3, 0.7, 0.25, 0.35, 0.5, 0.975, 0.8, 0.55, 0.75, 0.99, 0.85, 0.9]","[89971.0, 90731.0, 91300.0, 92319.0, 92899.0, 95542.0, 97537.0, 93482.0, 96027.0, 103901.0, 98129.0, 94758.0, 98718.0, 94132.0, 95124.0, 96496.0, 105385.0, 100153.0, 97116.0, 99411.0, 107436.0, 100811.0, 102248.0]",100275,3.0,-4.480765054837987,0.979994361997014,0.98,8.13168825161692e-05,107436.0,89971.0,96496.0
4648,CU:scenario_mid,2020-05-07,16,2020-05-23,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.4, 0.6, 0.2, 0.45, 0.95, 0.65, 0.3, 0.7, 0.25, 0.35, 0.5, 0.975, 0.8, 0.55, 0.75, 0.99, 0.85, 0.9]","[90014.0, 90772.0, 91382.0, 92368.0, 92944.0, 95546.0, 97698.0, 93421.0, 95972.0, 104099.0, 98182.0, 94758.0, 98835.0, 94162.0, 95157.0, 96722.0, 105247.0, 100008.0, 97130.0, 99489.0, 107443.0, 100816.0, 102192.0]",100275,3.0,-4.868728800890859,0.9799959623801875,0.98,6.69785071415463e-05,107443.0,90014.0,96722.0
4516,CU:scenario_high,2020-05-07,9,2020-05-16,"[0.01, 0.6, 0.4, 0.2, 0.025, 0.65, 0.45, 0.1, 0.25, 0.05, 0.7, 0.5, 0.15, 0.3, 0.75, 0.55, 0.8, 0.35, 0.95, 0.975, 0.99, 0.85, 0.9]","[83857.0, 88094.0, 86949.0, 85827.0, 84319.0, 88395.0, 87254.0, 85221.0, 86197.0, 84566.0, 88649.0, 87550.0, 85548.0, 86527.0, 88892.0, 87787.0, 89312.0, 86785.0, 91391.0, 92033.0, 93132.0, 89696.0, 90483.0]",91697,2.0,-5.873300758732287,0.9799999347507562,0.98,4.2385197012995146e-05,93132.0,83857.0,87550.0
4658,CU:select,2020-05-07,16,2020-05-23,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.4, 0.6, 0.2, 0.45, 0.95, 0.65, 0.3, 0.7, 0.25, 0.35, 0.5, 0.975, 0.8, 0.55, 0.75, 0.99, 0.85, 0.9]","[90014.0, 90772.0, 91382.0, 92368.0, 92944.0, 95546.0, 97698.0, 93421.0, 95972.0, 104099.0, 98182.0, 94758.0, 98835.0, 94162.0, 95157.0, 96722.0, 105247.0, 100008.0, 97130.0, 99489.0, 107443.0, 100816.0, 102192.0]",100275,3.0,-4.868728800890859,0.9799959623801875,0.98,6.69785071415463e-05,107443.0,90014.0,96722.0
4764,CU:scenario_high,2020-05-07,23,2020-05-30,"[0.025, 0.15, 0.01, 0.1, 0.25, 0.05, 0.2, 0.65, 0.3, 0.75, 0.7, 0.35, 0.5, 0.55, 0.99, 0.6, 0.4, 0.8, 0.85, 0.975, 0.9, 0.45, 0.95]","[96606.0, 99824.0, 95195.0, 98887.0, 101532.0, 97172.0, 100700.0, 108775.0, 102589.0, 110852.0, 109968.0, 103577.0, 105931.0, 106799.0, 125385.0, 107829.0, 103980.0, 112328.0, 113542.0, 121636.0, 115840.0, 104980.0, 119055.0]",106926,4.0,-5.3699998906776285,0.9799990437000046,0.98,5.048245936914442e-05,125385.0,95195.0,105931.0
41,CU:select,2020-05-07,30,2020-06-06,"[0.025, 0.1, 0.15, 0.05, 0.2, 0.85, 0.65, 0.01, 0.25, 0.9, 0.7, 0.35, 0.5, 0.3, 0.95, 0.55, 0.75, 0.4, 0.975, 0.6, 0.45, 0.99, 0.8]","[101838.0, 105114.0, 106890.0, 102836.0, 108168.0, 129777.0, 121353.0, 99862.0, 109803.0, 133672.0, 123176.0, 112349.0, 116691.0, 111028.0, 139167.0, 118320.0, 125218.0, 113780.0, 143715.0, 119797.0, 115125.0, 150222.0, 127603.0]",112954,5.0,-6.083290748495307,0.9799993578990362,0.98,3.4382877140984314e-05,150222.0,99862.0,116691.0
194,CU:scenario_low,2020-05-07,37,2020-06-13,"[0.025, 0.3, 0.35, 0.05, 0.1, 0.01, 0.15, 0.2, 0.4, 0.25, 0.85, 0.45, 0.65, 0.9, 0.7, 0.5, 0.95, 0.75, 0.55, 0.975, 0.8, 0.6, 0.99]","[106690.0, 119581.0, 121637.0, 108017.0, 111253.0, 104020.0, 113348.0, 115398.0, 123267.0, 117725.0, 148177.0, 125748.0, 134980.0, 153357.0, 137376.0, 127940.0, 161575.0, 140888.0, 129836.0, 168881.0, 144432.0, 132738.0, 178578.0]",118220,6.0,-6.5253565950249675,0.9799992826060113,0.98,2.6943509677496147e-05,178578.0,104020.0,127940.0
4836,LANL:GrowthRate,2020-05-07,23,2020-05-30,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[82664.5088154457, 84596.5156887062, 86327.3684905354, 89112.87557100279, 91233.1718976674, 92846.3279416216, 94575.4478450873, 96175.4071823952, 97768.81092718539, 99578.5546144209, 101090.66783835801, 102909.70373033301, 104605.555451382, 106285.23861539699, 108165.75454935801, 110126.40399558801, 112352.42904215699, 115170.048852801, 118359.06546261699, 122806.749150722, 130488.947774079, 137434.993755681, 149923.912122871]",106926,4.0,-6.640939140193544,0.9799978810377403,0.98,2.6739886095555887e-05,149923.912122871,82664.5088154457,102909.70373033301
463,LANL:GrowthRate,2020-05-07,44,2020-06-20,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[84338.6332991852, 87216.1355066351, 89548.2369823478, 93659.7310237622, 96744.9435781579, 99537.04305281, 101858.765599895, 104322.703080284, 106753.909702074, 109564.523265429, 112085.887592164, 115695.28116625901, 118419.707074982, 121475.85812048, 125174.710683924, 129794.47967796, 134410.56420910198, 140127.497615026, 147755.288122562, 159069.858307238, 180703.73180434198, 206268.692761793, 236728.25088757198]",122496,7.0,-7.77769485931604,0.9799985706057743,0.98,1.4151318039445915e-05,236728.25088757198,84338.6332991852,115695.28116625901
4530,CU:scenario_mid,2020-05-07,9,2020-05-16,"[0.01, 0.6, 0.4, 0.2, 0.025, 0.65, 0.45, 0.1, 0.25, 0.05, 0.7, 0.5, 0.15, 0.3, 0.75, 0.55, 0.8, 0.35, 0.95, 0.975, 0.99, 0.85, 0.9]","[83868.0, 88048.0, 86920.0, 85824.0, 84297.0, 88314.0, 87192.0, 85196.0, 86238.0, 84619.0, 88651.0, 87546.0, 85563.0, 86556.0, 89013.0, 87812.0, 89253.0, 86799.0, 91459.0, 91892.0, 93060.0, 89691.0, 90513.0]",91697,2.0,-5.0168463549727305,0.979994656660167,0.98,6.504155518138877e-05,93060.0,83868.0,87546.0
4569,LANL:GrowthRate,2020-05-07,9,2020-05-16,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[79263.30282032599, 80173.7951725787, 81203.41081051, 82436.08216316451, 83323.1940031504, 84172.2852851785, 84937.0304179408, 85577.1188308087, 86277.7427934376, 86885.54524464901, 87486.1660760299, 88033.6831602968, 88571.5962467055, 89139.2545660147, 89688.85104867839, 90354.3056637892, 90970.8629021368, 91697.5380842193, 92550.4992054635, 93740.0784501128, 95546.69590432369, 97626.8018054661, 100119.529542963]",91697,2.0,-5.065528775859696,0.9799894836158177,0.98,6.347747799001491e-05,100119.529542963,79263.30282032599,88033.6831602968
4792,CU:select,2020-05-07,23,2020-05-30,"[0.025, 0.15, 0.01, 0.1, 0.25, 0.05, 0.2, 0.65, 0.3, 0.75, 0.7, 0.35, 0.5, 0.55, 0.99, 0.6, 0.4, 0.8, 0.85, 0.975, 0.9, 0.45, 0.95]","[96342.0, 99663.0, 95061.0, 98589.0, 101476.0, 97037.0, 100452.0, 108427.0, 102382.0, 110594.0, 109410.0, 103126.0, 105711.0, 106573.0, 124933.0, 107432.0, 103987.0, 111737.0, 113031.0, 121010.0, 115472.0, 104675.0, 118708.0]",106926,4.0,-5.040066974089494,0.9799999935813855,0.98,5.953666820068815e-05,124933.0,95061.0,105711.0
4782,CU:scenario_mid,2020-05-07,23,2020-05-30,"[0.025, 0.15, 0.01, 0.1, 0.25, 0.05, 0.2, 0.65, 0.3, 0.75, 0.7, 0.35, 0.5, 0.55, 0.99, 0.6, 0.4, 0.8, 0.85, 0.975, 0.9, 0.45, 0.95]","[96342.0, 99663.0, 95061.0, 98589.0, 101476.0, 97037.0, 100452.0, 108427.0, 102382.0, 110594.0, 109410.0, 103126.0, 105711.0, 106573.0, 124933.0, 107432.0, 103987.0, 111737.0, 113031.0, 121010.0, 115472.0, 104675.0, 118708.0]",106926,4.0,-5.040066974089494,0.9799999935813855,0.98,5.953666820068815e-05,124933.0,95061.0,105711.0
184,CU:scenario_high,2020-05-07,37,2020-06-13,"[0.025, 0.3, 0.35, 0.05, 0.1, 0.01, 0.15, 0.2, 0.4, 0.25, 0.85, 0.45, 0.65, 0.9, 0.7, 0.5, 0.95, 0.75, 0.55, 0.975, 0.8, 0.6, 0.99]","[107823.0, 121687.0, 123945.0, 109306.0, 112897.0, 105234.0, 115313.0, 117393.0, 125986.0, 119539.0, 153003.0, 128664.0, 138685.0, 159053.0, 142148.0, 130858.0, 168197.0, 145403.0, 133321.0, 175587.0, 148973.0, 136369.0, 186257.0]",118220,6.0,-6.818718444282571,0.979999642283169,0.98,2.326759256647548e-05,186257.0,105234.0,130858.0
4538,CU:select,2020-05-07,9,2020-05-16,"[0.01, 0.6, 0.4, 0.2, 0.025, 0.65, 0.45, 0.1, 0.25, 0.05, 0.7, 0.5, 0.15, 0.3, 0.75, 0.55, 0.8, 0.35, 0.95, 0.975, 0.99, 0.85, 0.9]","[83868.0, 88048.0, 86920.0, 85824.0, 84297.0, 88314.0, 87192.0, 85196.0, 86238.0, 84619.0, 88651.0, 87546.0, 85563.0, 86556.0, 89013.0, 87812.0, 89253.0, 86799.0, 91459.0, 91892.0, 93060.0, 89691.0, 90513.0]",91697,2.0,-5.0168463549727305,0.979994656660167,0.98,6.504155518138877e-05,93060.0,83868.0,87546.0
76,IHME:CurveFit,2020-05-08,29,2020-06-06,"[0.025, 0.975]","[99261.275, 149039.75]",112954,5.0,-7.260670561859857,0.9499618312951534,0.95,1.908435283953791e-05,149039.75,99261.275,124150.5125
